sort2,sort1,species,replicate,tag_ID,site,age,date,year,segment,node_below,node_above,plant_status,use_status,stem_weight,leaf_weight,root_weight,diameter_1,diameter_2,diameter_3,diameter_ave,total_stem_weight,total_leaf_weight,total_plant_weight,height,notes
1854,,LEES,B-04,LEES_B-04,baby,0.1,22-Jan-14,2013,1,0,1,alive,do_not_use,2.8,1.31,,0.39,0.39,,0.39,2.8,1.31,4.11,35,
1832,,LEES,B-06,LEES_B-06,baby,0.1,27-Jan-14,2013,1,0,1,alive,do_not_use,3.6,13.8,,0.4,0.38,,0.39,3.6,13.8,17.4,41,22 mm with lvs
1864,,LEES,B-07,LEES_B-07,baby,0.1,22-Jan-14,2013,1,0,1,alive,do_not_use,6.4,19.1,,0.48,0.46,,0.47,6.4,19.1,25.5,49,
1866,,LEES,B-08,LEES_B-08,baby,0.1,22-Jan-14,2013,1,0,1,alive,do_not_use,2.2,3.7,,0.32,0.33,,0.33,2.2,3.7,5.9,34,
1865,,LEES,B-09,LEES_B-09,baby,0.1,22-Jan-14,2013,1,0,1,alive,do_not_use,2,7.6,,0.31,0.3,,0.31,2,7.6,9.6,28,
1833,,PELA,B-01,PELA_B-01,baby,0.1,22-Jan-14,2013,1,0,1,alive,do_not_use,21.1,125.6,,1.33,1.35,,1.34,21.1,125.6,146.7,25,see env
1834,,PELA,B-02,PELA_B-02,baby,0.1,22-Jan-14,2013,1,0,1,alive,do_not_use,73.1,436.8,,1.55,1.57,,1.56,73.1,436.8,509.9,50,see env
1857,,PELA,B-03,PELA_B-03,baby,0.1,22-Jan-14,2013,1,0,1,alive,do_not_use,24.1,106.1,,1.19,1.15,,1.17,24.1,106.1,130.2,27,
1835,,PELA,B-05,PELA_B-05,baby,0.1,27-Jan-14,2013,1,0,1,alive,do_not_use,39.7,286.7,,1.63,,,1.63,39.7,286.7,326.4,34,see env
1836,,PELA,B-06,PELA_B-06,baby,0.1,27-Jan-14,2013,1,0,1,alive,do_not_use,15.8,88.1,,1.44,1.47,,1.46,15.8,88.1,103.9,22,
1837,,PELA,B-07,PELA_B-07,baby,0.1,27-Jan-14,2013,1,0,1,alive,do_not_use,29.6,145.2,,1.91,1.95,,1.93,29.6,145.2,174.8,25,see env
1838,,PEPU,B-01,PEPU_B-01,baby,0.1,28-Jun-13,2013,1,0,1,alive,do_not_use,14.1,62,,0.9,,,0.9,14.1,62,76.1,25,
1839,,PEPU,B-02,PEPU_B-02,baby,0.1,28-Jun-13,2013,1,0,1,alive,do_not_use,13.7,59.8,,0.84,,,0.84,13.7,59.8,73.5,18,
1840,,PEPU,B-03,PEPU_B-03,baby,0.1,28-Jun-13,2013,1,0,1,alive,do_not_use,18.7,64.6,,0.91,0.99,,0.95,18.7,64.6,83.3,25,
1853,,PEPU,B-07,PEPU_B-07,baby,0.1,22-Jan-14,2013,1,0,1,alive,do_not_use,13,66.1,,0.7,0.64,,0.67,13,66.1,79.1,33,
1852,,PEPU,B-08,PEPU_B-08,baby,0.1,22-Jan-14,2013,1,0,1,alive,do_not_use,10.7,74.4,,0.64,0.68,,0.66,10.7,74.4,85.1,31,
1863,,PILI,B-01,PILI_B-01,baby,0.1,22-Jan-14,2013,1,0,1,alive,do_not_use,2.4,8.6,,0.48,0.48,,0.48,2.4,8.6,11,28,
