species,site,age,age2,branch_age,indiv_pooled,lvs_per_ind,leaf_number,weight,leaf_area,LMA,,,
HATE,Basin2007,5,5,young,4,4,16,0.7671,15.48915,0.0495,,,
HATE,Basin2007,5,5,mid,4,4,17,0.8302,14.86954,0.0558,,,
HATE,Basin2007,5,5,old,2,4,8,0.5278,9.05858,0.0583,,,
HEPU,Basin2007,5,5,young,4,8,32,0.0443,2.51518,0.0176,,,
HEPU,Basin2007,5,5,mid,4,8,32,0.0568,2.68686,0.0211,,,
HEPU,Basin2007,5,5,old,2,6,14,0.0296,1.05892,0.028,,,
LEES,Basin2007,5,5,young,4,6,24,0.0928,7.36185,0.013,,,
LEES,Basin2007,5,5,mid,4,4,16,0.0736,5.02029,0.015,,,
LEES,Basin2007,5,5,old,2,6,12,0.0639,3.76219,0.017,,,
PELA,Basin2007,5,5,young,4,2,8,2.8403,123.82164,0.023,,,
PELA,Basin2007,5,5,mid,4,2,8,3.4009,130.09005,0.026,,,
PELA,Basin2007,5,5,old,4,2,8,3.9038,147.06026,0.027,,,
PEPU,Basin2007,5,5,young,4,1,4,0.4093,14.9107,0.027,,,
PEPU,Basin2007,5,5,mid,4,1,4,0.3568,11.97116,0.03,,,
PEPU,Basin2007,5,5,old,4,1,4,0.4556,15.34063,0.03,,,
PHPH,Basin2007,5,5,young,4,8,32,0.0509,3.68043,0.014,,,
PHPH,Basin2007,5,5,mid,4,6,24,0.0637,3.76427,0.017,,,
PHPH,Basin2007,5,5,old,4,8,32,0.0913,4.51314,0.02,,,
PILI,Basin2007,5,5,young,4,8,32,0.0266,3.22875,0.008,,,
PILI,Basin2007,5,5,mid,4,8,33,0.0454,4.11009,0.011,,,
PUTU,Basin2007,5,5,young,4,6,24,0.0608,5.54588,0.011,,,
PUTU,Basin2007,5,5,mid,4,6,23,0.05,4.22695,0.0118,,,
PUTU,Basin2007,5,5,old,2,8,16,0.0425,3.24506,0.0131,,,
BAER,Basin2005,7,7,young,5,8,40,0.1127,4.96311,0.0227,,,
BAER,Basin2005,7,7,mid,5,8,40,0.15,6.70911,0.0224,,,
BAER,Basin2005,7,7,old,4,8,40,0.1426,7.62177,0.019,,,
BOLE,Basin2005,7,7,young,4,5,20,0.1557,8.23402,0.0189,,,
BOLE,Basin2005,7,7,mid,4,5,19,0.1921,9.46091,0.0203,,,
COER,Basin2005,7,7,young,4,8,32,0.0385,2.22296,0.0173,,,
COER,Basin2005,7,7,mid,4,8,32,0.0527,2.39509,0.022,,,
COER,Basin2005,7,7,old,4,8,32,0.0585,2.12033,0.0276,,,
EPMI,Basin2005,7,7,young,4,8,30,0.0205,1.6995,0.0121,,,
EPMI,Basin2005,7,7,mid,4,8,32,0.0294,2.16668,0.0136,,,
EPMI,Basin2005,7,7,old,4,8,33,0.0331,2.37764,0.0139,,,
GRBU,Basin2005,7,7,young,4,6,24,0.1714,11.34388,0.015,,,
GRBU,Basin2005,7,7,mid,4,6,24,0.2012,11.96552,0.017,,,
GRBU,Basin2005,7,7,old,4,5,20,0.2025,11.50905,0.018,,,
GRSP,Basin2005,7,7,young,4,6,24,0.2772,17.12647,0.016,,,
GRSP,Basin2005,7,7,mid,4,6,24,0.3522,19.87334,0.018,,,
GRSP,Basin2005,7,7,old,4,6,24,0.3066,17.90134,0.017,,,
HATE,Basin2005,7,7,young,2,4,8,0.1838,3.85827,0.0476,,,
HATE,Basin2005,7,7,young,4,4,16,0.5851,12.15419,0.0481,,,
HATE,Basin2005,7,7,mid,4,4,16,0.71,12.81031,0.0554,,,
HATE,Basin2005,7,7,old,4,4,16,0.7895,13.76697,0.0573,,,
HEPU,Basin2005,7,7,young,4,8,31,0.0491,2.49603,0.0197,,,
HEPU,Basin2005,7,7,mid,4,8,32,0.0665,2.97992,0.0223,,,
HEPU,Basin2005,7,7,old,4,8,28,0.0573,2.51606,0.0228,,,
LEES,Basin2005,7,7,young,4,4,16,0.0599,5.30832,0.011,,,
LEES,Basin2005,7,7,mid,4,6,24,0.1164,8.28744,0.014,,,
LEES,Basin2005,7,7,old,2,5,10,0.0592,3.54768,0.017,,,
PELA,Basin2005,7,7,young,4,2,8,1.0642,58.36964,0.018,,,
PELA,Basin2005,7,7,mid,4,2,8,2.1002,91.05593,0.023,,,
PELA,Basin2005,7,7,old,4,4,16,4.4639,183.31803,0.024,,,
PEPU,Basin2005,7,7,young,4,1,4,0.5699,17.02306,0.033,,,
PEPU,Basin2005,7,7,mid,4,1,4,0.5309,13.36025,0.04,,,
PEPU,Basin2005,7,7,old,4,1,4,0.4818,16.63841,0.029,,,
PHPH,Basin2005,7,7,young,4,8,33,0.0918,5.31472,0.017,,,
PHPH,Basin2005,7,7,mid,4,8,32,0.1092,5.25675,0.021,,,
