species,replicate,individual,site,age,age_exact,date,start_end,census,interval,year,year_div,status,diameter,length,stem_weight_collected,leaf_weight_collected,notes
PILI,152,PILI_152,Waratah2011,2.4,2.4,30-Jul-14,end,30,,2014,2014,nipped-missing,0.67,63,,,
PILI,155,PILI_155,Waratah2011,2.4,2.4,31-Jul-14,end,30,,2014,2014,nipped-missing,0.71,143,,,
PILI,161,PILI_161,Waratah2011,2.4,2.4,30-Jul-14,end,30,,2014,2014,nipped-missing,0.78;.42;.97,57;7;77,,,
PUTU,151,PUTU_151,Waratah2011,2.4,2.4,31-Jul-14,end,30,,2014,2014,dead-missing,1.11;.64,10;18,,,basal branch;normal turnover
PUTU,152,PUTU_152,Waratah2011,2.4,2.4,30-Jul-14,end,30,,2014,2014,nipped-missing,1.38,65,,,
PUTU,153,PUTU_153,Waratah2011,2.4,2.4,30-Jul-14,end,30,,2014,2014,shed&collected,check,check,33.9,0,
PUTU,153,PUTU_153,Waratah2011,2.4,2.4,30-Jul-14,end,30,,2014,2014,dead-missing,1.16,80,,,basal branch;normal turnover
PUTU,157,PUTU_157,Waratah2011,2.4,2.4,31-Jul-14,end,30,,2014,2014,dead-missing,.62;.82,47;83,,,basal branch;normal turnover
BAER,403,BAER_403,Basin2007,5,5,7-May-13,end,17,,2013,2013,missing,0.9,,,,
BAER,4,BAER_004,Basin2005,7,7,28-May-13,end,17,,2013,2013,missing,0.8,,,,
BAER,5,BAER_005,Basin2005,7,7,28-May-13,end,17,,2013,2013,missing,1.05,,,,
BAER,7,BAER_007,Basin2005,7,7,28-May-13,end,17,,2013,2013,missing,1.04,,,,
BOLE,1,BOLE_001,Basin2005,7,7,9-May-13,end,17,,2013,2013,missing,0.52,,,,
PELA,2,PELA_002,Basin2005,7,7,16-May-13,end,17,,2013,2013,dead-missing,1.73;1.8,18;16,,,normal turnover
