species,replicate,individual,site,age,date_tagged,mature,use_for_allocation_calculations,use_for_allometric_equations,reason
BOLE,802,BOLE_802,Waratah2003,9,15-May-12,TRUE,TRUE,TRUE,
BOLE,803,BOLE_803,Waratah2003,9,15-May-12,TRUE,TRUE,TRUE,
BOLE,804,BOLE_804,Waratah2003,9,15-May-12,TRUE,TRUE,TRUE,
BOLE,805,BOLE_805,Waratah2003,9,15-May-12,TRUE,TRUE,TRUE,
BOLE,806,BOLE_806,Waratah2003,9,15-May-12,TRUE,TRUE,TRUE,
BOLE,807,BOLE_807,Waratah2003,9,15-May-12,TRUE,TRUE,TRUE,
COER,1,COER_001,Basin2005,7,15-Mar-12,TRUE,TRUE,TRUE,
COER,2,COER_002,Basin2005,7,15-Mar-12,TRUE,FALSE,FALSE,
COER,3,COER_003,Basin2005,7,15-Mar-12,TRUE,TRUE,TRUE,
COER,4,COER_004,Basin2005,7,16-Mar-12,TRUE,FALSE,FALSE,
COER,5,COER_005,Basin2005,7,23-Mar-12,TRUE,TRUE,TRUE,
COER,6,COER_006,Basin2005,7,23-Mar-12,TRUE,FALSE,FALSE,
COER,7,COER_007,Basin2005,7,23-Mar-12,TRUE,FALSE,FALSE,
xx,103,COER_103,Waratah2011,1.4,9-Aug-12,FALSE,FALSE,FALSE,
xx,104,COER_104,Waratah2011,1.4,4-May-12,FALSE,FALSE,FALSE,
xx,111,COER_111,Waratah2011,1.4,15-Jun-12,FALSE,FALSE,FALSE,
xx,112,COER_112,Waratah2011,1.4,15-Jun-12,FALSE,FALSE,FALSE,
xx,115,COER_115,Waratah2011,1.4,2-Nov-12,FALSE,FALSE,FALSE,
COER,401,COER_401,Basin2007,5,27-Apr-12,TRUE,TRUE,TRUE,
COER,402,COER_402,Basin2007,5,27-Apr-12,FALSE,TRUE,TRUE,
COER,403,COER_403,Basin2007,5,27-Apr-12,TRUE,TRUE,TRUE,
COER,404,COER_404,Basin2007,5,27-Apr-12,TRUE,TRUE,TRUE,
COER,405,COER_405,Basin2007,5,27-Apr-12,FALSE,TRUE,TRUE,
COER,406,COER_406,Basin2007,5,27-Apr-12,FALSE,TRUE,TRUE,
COER,407,COER_407,Basin2007,5,27-Apr-12,TRUE,TRUE,TRUE,
COER,801,COER_801,Waratah2003,9,11-May-12,TRUE,TRUE,TRUE,
COER,802,COER_802,Waratah2003,9,11-May-12,TRUE,TRUE,TRUE,
COER,803,COER_803,Waratah2003,9,11-May-12,TRUE,TRUE,TRUE,
COER,804,COER_804,Waratah2003,9,11-May-12,TRUE,TRUE,TRUE,
COER,805,COER_805,Waratah2003,9,15-Jun-12,TRUE,FALSE,FALSE,
COER,806,COER_806,Waratah2003,9,17-May-12,TRUE,TRUE,TRUE,
COER,807,COER_807,Waratah2003,9,17-May-12,TRUE,TRUE,TRUE,
EPMI,1,EPMI_001,Basin2005,7,24-May-12,,TRUE,TRUE,
EPMI,2,EPMI_002,Basin2005,7,24-May-12,,TRUE,TRUE,
EPMI,3,EPMI_003,Basin2005,7,24-May-12,,TRUE,TRUE,
EPMI,4,EPMI_004,Basin2005,7,24-May-12,,TRUE,TRUE,
EPMI,5,EPMI_005,Basin2005,7,24-May-12,,TRUE,TRUE,
