species,sort,part,accessory_part,parts_fewer,parts_fewer_yet
HATE,29,fruit_large_immature_01,postpollination_abort,fruit_immature,fruit_seed_immature
HATE,28,fruit_young,postpollination_abort,fruit_immature,fruit_seed_immature
HATE,5,inflorescence_bud_big_bracts,prepollination_success,bract,bract
HATE,6,inflorescence_bud_big_flowers,prepollination_abort,bud,petals
HATE,4,inflorescence_bud_mid,prepollination_abort,bud,bud
HATE,3,inflorescence_bud_small,prepollination_abort,bud,bud
HATE,2,inflorescence_bud_tiny,prepollination_abort,bud,bud
HATE,44,seed,propagule,seed,seed
HATE,43,seed_aborted,postpollination_abort,seed_aborted,fruit_seed_immature
HATE,42,seed_immature,propagule,seed_immature,fruit_seed_immature
HATE,41,seed_pod,packaging_dispersal,seed_pod,seed_pod
HEPU,11,bud_big,prepollination_abort,bud,bud
HEPU,9,bud_small,prepollination_abort,bud,bud
HEPU,38,calyx_fruit,packaging_dispersal,calyx,calyx
HEPU,20,finished_flower,prepollination_success,finished_flower,calyx
HEPU,20.1,finished_flower_aborting,prepollination_success,finished_flower,calyx
HEPU,16,flower_calyx,prepollination_success,calyx,calyx
HEPU,16.1,flower_calyx_aborting,prepollination_success,calyx,calyx
HEPU,13,flower_petals,prepollination_success,petals,petals
HEPU,35,fruit_aborted,postpollination_abort,fruit_immature,fruit_seed_immature
HEPU,29,fruit_large_immature_01,postpollination_abort,fruit_immature,fruit_seed_immature
HEPU,34.5,fruit_large_immature_aborting,postpollination_abort,fruit_immature,fruit_seed_immature
HEPU,37,fruit_mature,propagule,fruit_mature,fruit_mature
HEPU,28,fruit_young,postpollination_abort,fruit_immature,fruit_seed_immature
HEPU,28.5,fruit_young_aborting,postpollination_abort,fruit_immature,fruit_seed_immature
LEES,7,bud_aborted,prepollination_abort,bud,bud
LEES,11,bud_big,prepollination_abort,bud,bud
LEES,10,bud_mid,prepollination_abort,bud,bud
LEES,8,bud_tiny,prepollination_abort,bud,bud
LEES,38,calyx_fruit,prepollination_success,calyx,calyx
LEES,20,finished_flower,prepollination_success,finished_flower,calyx
LEES,16,flower_calyx,prepollination_success,calyx,calyx
LEES,13,flower_petals,prepollination_success,petals,petals
LEES,35,fruit_aborted,postpollination_abort,fruit_immature,fruit_seed_immature
LEES,27,fruit_just_starting,postpollination_abort,calyx,calyx
LEES,29,fruit_large_immature_01,postpollination_abort,fruit_immature,fruit_seed_immature
LEES,37,fruit_mature,propagule,fruit_mature,fruit_mature
LEES,28,fruit_young,postpollination_abort,fruit_immature,fruit_seed_immature
PELA,11,bud_big,prepollination_abort,bud,bud
PELA,10,bud_mid,prepollination_abort,bud,bud
PELA,9,bud_small,prepollination_abort,bud,bud
PELA,21,finished_flower_stigma,prepollination_success,stigma,fruit_seed_immature
PELA,13,flower_petals,prepollination_success,petals,petals
PELA,15,flower_stigma,prepollination_success,stigma,fruit_seed_immature
PELA,27,fruit_just_starting,postpollination_abort,fruit_immature,fruit_seed_immature
PELA,29,fruit_large_immature_01,postpollination_abort,fruit_immature,fruit_seed_immature
PELA,30,fruit_large_immature_02,postpollination_abort,fruit_immature,fruit_seed_immature
PELA,31,fruit_large_immature_03,postpollination_abort,fruit_immature,fruit_seed_immature
