sort01,sort02,species,replicate,individual,site,age,age_exact,date,start_end,census,interval,year,year_div,segment,node_below,node_above,plant_status,use_status,stem_weight,leaf_weight,root_weight,diameter_1,diameter_2,diameter_3,diameter_ave,total_stem_weight,total_leaf_weight,total_plant_weight,height,notes
887,1537,BOLE,114,BOLE_114,Waratah2011,1.4,1.4,4-Jun-13,end,17,,2013,2013,1,0,1,alive,use,342.9,186.1,,3.07,2.83,3.06,2.99,867.1,1223.8,2090.9,390,note on sheet indicates this might be 113B
888,3535,BOLE,114,BOLE_114,Waratah2011,1.4,1.4,9-Aug-12,start,5,0.8,2012,2012,2,1,2,alive,,,,,,,,,,,,,
889,1535,BOLE,114,BOLE_114,Waratah2011,1.4,1.4,4-Jun-13,end,17,,2013,2013,2,1,2,alive,,462.7,883.7,,1.95,,,1.95,524.2,1037.7,1561.9,,note on sheet indicates this might be 113B
890,3140,BOLE,114,BOLE_114,Waratah2011,1.4,1.4,9-Aug-12,start,5,0.8,2012,2012,3,2,3,alive,,,,,,,,,,,,,
891,1140,BOLE,114,BOLE_114,Waratah2011,1.4,1.4,4-Jun-13,end,17,,2013,2013,3,2,3,alive,,61.5,154,,0.89,,,0.89,61.5,154,215.5,,note on sheet indicates this might be 113B
892,3492,BOLE,115,BOLE_115,Waratah2011,1.4,1.4,9-Aug-12,start,5,0.8,2012,2012,1,0,1,alive,use,,,,1.48,1.32,1.36,1.39,,,,130,
893,1492,BOLE,115,BOLE_115,Waratah2011,1.4,1.4,4-Jun-13,end,17,,2013,2013,1,0,1,alive,use,357.8,354.9,,2.73,2.58,2.51,2.61,694.7,1615.2,2309.9,305,
894,3493,BOLE,115,BOLE_115,Waratah2011,1.4,1.4,9-Aug-12,start,5,0.8,2012,2012,2,1,2,alive,,,,,,,,,,,,,
895,1493,BOLE,115,BOLE_115,Waratah2011,1.4,1.4,4-Jun-13,end,17,,2013,2013,2,1,2,alive,,304.3,1151.9,,1.9,,,1.9,336.9,1260.3,1597.2,,
896,3494,BOLE,115,BOLE_115,Waratah2011,1.4,1.4,9-Aug-12,start,5,0.8,2012,2012,3,2,3,alive,,,,,,,,,,,,,
897,1494,BOLE,115,BOLE_115,Waratah2011,1.4,1.4,4-Jun-13,end,17,,2013,2013,3,2,3,alive,,32.6,108.4,,0.98,,,0.98,32.6,108.4,141,,
898,,BOLE,116,BOLE_116,Waratah2011,1.4,1.4,30-Aug-12,start,6,0.8,2012,2012,1,0,1,alive,use,,,,1.51,,,1.51,,,,230,
899,,BOLE,116,BOLE_116,Waratah2011,1.4,1.4,13-Jun-13,end,18,,2013,2013,1,0,1,alive,use,674.9,259,,2.93,3.02,2.88,2.94,1074.6,983.3,2057.9,550,
900,,BOLE,116,BOLE_116,Waratah2011,1.4,1.4,30-Aug-12,start,6,0.8,2012,2012,2,1,2,alive,,,,,0.4,,,0.4,,,,,
901,,BOLE,116,BOLE_116,Waratah2011,1.4,1.4,13-Jun-13,end,18,,2013,2013,2,1,2,alive,,351.5,623.4,,1.47,,,1.47,399.7,724.3,1124,,
902,,BOLE,116,BOLE_116,Waratah2011,1.4,1.4,30-Aug-12,start,6,0.8,2012,2012,3,2,3,alive,,,,,,,,,,,,,
903,,BOLE,116,BOLE_116,Waratah2011,1.4,1.4,13-Jun-13,end,18,,2013,2013,3,2,3,alive,,48.2,100.9,,0.78,,,0.78,48.2,100.9,149.1,,
904,3545,BOLE,117,BOLE_117,Waratah2011,1.4,1.4,2-Nov-12,start,9,0.6,2012,2012,1,0,1,alive,use,,,,2.61,2.59,2.61,2.6,,,,302,
905,1545,BOLE,117,BOLE_117,Waratah2011,1.4,1.4,4-Jun-13,end,17,,2013,2013,1,0,1,alive,use,2209.1,1235.6,,4.58,4.79,4.55,4.64,5248.6,5035.2,10283.8,682,
906,3170,BOLE,117,BOLE_117,Waratah2011,1.4,1.4,2-Nov-12,start,9,0.6,2012,2012,2,1,2,alive,,,,,1.52,,,1.52,,,,,
907,1170,BOLE,117,BOLE_117,Waratah2011,1.4,1.4,4-Jun-13,end,17,,2013,2013,2,1,2,alive,,2446.5,2914.4,,3.33,3.24,3.44,3.34,3039.5,3799.6,6839.1,,
908,3163,BOLE,117,BOLE_117,Waratah2011,1.4,1.4,2-Nov-12,start,9,0.6,2012,2012,3,2,3,alive,,,,,,,,,,,,,
909,1163,BOLE,117,BOLE_117,Waratah2011,1.4,1.4,4-Jun-13,end,17,,2013,2013,3,2,3,alive,,593,885.2,,1.94,,,1.94,593,885.2,1478.2,,
910,3168,BOLE,119,BOLE_119,Waratah2011,1.4,1.4,29-Jun-12,start,4,1,2012,2012,1,0,1,alive,use,,,,0.96,,,0.96,,,,65,
911,1168,BOLE,119,BOLE_119,Waratah2011,1.4,1.4,4-Jun-13,end,17,,2013,2013,1,0,1,alive,use,996.4,1539.8,,3.47,3.46,3.67,3.53,1268.9,2358.6,3627.5,240,"tagged at some point as BOLE 111 (113?) (second ind of that number), and censused during year, but no map"
912,3152,BOLE,119,BOLE_119,Waratah2011,1.4,1.4,29-Jun-12,start,4,1,2012,2012,1.2,1,9,alive,,,,,,,,,,,,,
913,1152,BOLE,119,BOLE_119,Waratah2011,1.4,1.4,4-Jun-13,end,17,,2013,2013,1.2,1,9,alive,,71.9,275.1,,1.18,,,1.18,71.9,275.1,347,,"tagged at some point as BOLE 111 (113?) (second ind of that number), and censused during year, but no map"
914,3169,BOLE,119,BOLE_119,Waratah2011,1.4,1.4,29-Jun-12,start,4,1,2012,2012,2,1,2,alive,,,,,,,,,,,,,
915,1169,BOLE,119,BOLE_119,Waratah2011,1.4,1.4,4-Jun-13,end,17,,2013,2013,2,1,2,alive,,200.6,543.7,,1.59,,,1.59,200.6,543.7,744.3,,"tagged at some point as BOLE 111 (113?) (second ind of that number), and censused during year, but no map"
916,3542,xx,103,COER_103,Waratah2011,1.4,1.4,9-Aug-12,start,5,0.8,2012,2012,1,0,1,alive,do_not_use,,,,0.77,,,0.77,,,,,
917,1542,xx,103,COER_103,Waratah2011,1.4,1.4,4-Jun-13,end,17,,2013,2013,1,0,1,alive,do_not_use,31,7.4,,0.98,1.01,1.05,1.01,64.7,141.1,205.8,113,"bag says COER, but different species"
918,3157,xx,104,COER_104,Waratah2011,1.4,1.4,4-May-12,start,2,1,2012,2012,1,0,1,alive,do_not_use,,,,0.82,,,0.82,,,,42,
919,1157,xx,104,COER_104,Waratah2011,1.4,1.4,4-Jun-13,end,17,,2013,2013,1,0,1,alive,do_not_use,27.6,31.4,,1.11,1.14,1.07,1.11,36.2,83.7,119.9,61,not COER
920,3467,xx,104,COER_104,Waratah2011,1.4,1.4,4-May-12,start,2,1,2012,2012,2,1,2,alive,,,,,,,,,,,,,
921,1467,xx,104,COER_104,Waratah2011,1.4,1.4,4-Jun-13,end,17,,2013,2013,2,1,2,alive,,8.6,52.3,,0.74,,,0.74,8.6,52.3,60.9,,not COER
922,,xx,111,COER_111,Waratah2011,1.4,1.4,15-Jun-12,start,3,1,2012,2012,1,0,1,alive,do_not_use,,,,1.03,,,1.03,,,,,
923,,xx,111,COER_111,Waratah2011,1.4,1.4,13-Jun-13,end,18,,2013,2013,1,0,1,alive,do_not_use,91.2,160.2,,1.33,1.44,1.32,1.36,96,187.8,283.8,82,"bag says COER, but different species"
924,,xx,111,COER_111,Waratah2011,1.4,1.4,15-Jun-12,start,3,1,2012,2012,2,1,2,alive,,,,,,,,,,,,,
925,,xx,111,COER_111,Waratah2011,1.4,1.4,13-Jun-13,end,18,,2013,2013,2,1,2,alive,,4.8,27.6,,0.65,,,0.65,4.8,27.6,32.4,,"bag says COER, but different species"
926,,xx,112,COER_112,Waratah2011,1.4,1.4,15-Jun-12,start,3,1,2012,2012,1,0,1,alive,do_not_use,,,,1.23,,,1.23,,,,,
927,,xx,112,COER_112,Waratah2011,1.4,1.4,13-Jun-13,end,18,,2013,2013,1,0,1,alive,do_not_use,353.7,542.8,,1.82,2.05,1.97,1.95,416.9,714.7,1131.6,280,"bag says COER, but different species"
928,,xx,112,COER_112,Waratah2011,1.4,1.4,15-Jun-12,start,3,1,2012,2012,2,1,2,alive,,,,,,,,,,,,,
929,,xx,112,COER_112,Waratah2011,1.4,1.4,13-Jun-13,end,18,,2013,2013,2,1,2,alive,,63.2,171.9,,0.95,,,0.95,63.2,171.9,235.1,,"bag says COER, but different species"
930,,xx,115,COER_115,Waratah2011,1.4,1.4,2-Nov-12,start,9,0.6,2012,2012,1,0,1,alive,do_not_use,,,,1.17,,,1.17,,,,,
931,,xx,115,COER_115,Waratah2011,1.4,1.4,13-Jun-13,end,18,,2013,2013,1,0,1,alive,do_not_use,422.1,858.6,,2.2,2.38,2.16,2.25,511.2,1185.4,1696.6,190,"bag says COER, but different species"
932,,xx,115,COER_115,Waratah2011,1.4,1.4,2-Nov-12,start,9,0.6,2012,2012,2,1,2,alive,,,,,,,,,,,,,
933,,xx,115,COER_115,Waratah2011,1.4,1.4,13-Jun-13,end,18,,2013,2013,2,1,2,alive,,89.1,326.8,,1.11,,,1.11,89.1,326.8,415.9,,"bag says COER, but different species"
934,3479,EPMI,101,EPMI_101,Waratah2011,1.4,1.4,15-Jun-12,start,3,1,2012,2012,1,0,1,alive,use,,,,0.67,,,0.67,,,,57,
935,1479,EPMI,101,EPMI_101,Waratah2011,1.4,1.4,4-Jun-13,end,17,,2013,2013,1,0,1,alive,use,103.3,121.4,,1.86,1.88,1.87,1.87,213.1,350,563.1,192,
936,3167,EPMI,101,EPMI_101,Waratah2011,1.4,1.4,15-Jun-12,start,3,1,2012,2012,2,1,2,alive,,,,,,,,,,,,,
937,1167,EPMI,101,EPMI_101,Waratah2011,1.4,1.4,4-Jun-13,end,17,,2013,2013,2,1,2,alive,,109.8,228.6,,1.34,,,1.34,109.8,228.6,338.4,,
938,3164,EPMI,102,EPMI_102,Waratah2011,1.4,1.4,15-Jun-12,start,3,1,2012,2012,1,0,1,alive,use,,,,0.56,,,0.56,,,,48,
939,1164,EPMI,102,EPMI_102,Waratah2011,1.4,1.4,4-Jun-13,end,17,,2013,2013,1,0,1,alive,use,83.6,82.4,,1.07,1.12,1.08,1.09,101.7,137.4,239.1,132,
940,3166,EPMI,102,EPMI_102,Waratah2011,1.4,1.4,15-Jun-12,start,3,1,2012,2012,2,1,2,alive,,,,,,,,,,,,,
941,1166,EPMI,102,EPMI_102,Waratah2011,1.4,1.4,4-Jun-13,end,17,,2013,2013,2,1,2,alive,,18.1,55,,0.79,,,0.79,18.1,55,73.1,,
942,,EPMI,104,EPMI_104,Waratah2011,1.4,1.4,15-Jun-12,start,3,1,2012,2012,1,0,1,alive,use,,,,0.64,,,0.64,,,,47,
943,,EPMI,104,EPMI_104,Waratah2011,1.4,1.4,13-Jun-13,end,18,,2013,2013,1,0,1,alive,use,26.2,10,,1.05,1,1.05,1.03,58.7,112.7,171.4,157,
944,,EPMI,104,EPMI_104,Waratah2011,1.4,1.4,15-Jun-12,start,3,1,2012,2012,2,1,2,alive,,,,,,,,,,,,,
945,,EPMI,104,EPMI_104,Waratah2011,1.4,1.4,13-Jun-13,end,18,,2013,2013,2,1,2,alive,,32.5,102.7,,0.81,,,0.81,32.5,102.7,135.2,,
946,,EPMI,105,EPMI_105,Waratah2011,1.4,1.4,15-Jun-12,start,3,1,2012,2012,1,0,1,alive,use,,,,0.62,,,0.62,,,,52,
947,,EPMI,105,EPMI_105,Waratah2011,1.4,1.4,13-Jun-13,end,18,,2013,2013,1,0,1,alive,use,34.8,41.7,,1.01,1.04,0.99,1.01,62.3,132.6,194.9,153,
948,,EPMI,105,EPMI_105,Waratah2011,1.4,1.4,15-Jun-12,start,3,1,2012,2012,2,1,2,alive,,,,,,,,,,,,,
949,,EPMI,105,EPMI_105,Waratah2011,1.4,1.4,13-Jun-13,end,18,,2013,2013,2,1,2,alive,,27.5,90.9,,0.86,,,0.86,27.5,90.9,118.4,,
950,3148,EPMI,106,EPMI_106,Waratah2011,1.4,1.4,15-Jun-12,start,3,1,2012,2012,1,0,1,alive,use,,,,0.32,,,0.32,,,,28,
951,1148,EPMI,106,EPMI_106,Waratah2011,1.4,1.4,4-Jun-13,end,17,,2013,2013,1,0,1,alive,use,72.6,109.1,,1.08,1.02,1.13,1.08,101.8,161.6,263.4,154,
952,3151,EPMI,106,EPMI_106,Waratah2011,1.4,1.4,15-Jun-12,start,3,1,2012,2012,2,1,2,alive,,,,,,,,,,,,,
953,1151,EPMI,106,EPMI_106,Waratah2011,1.4,1.4,4-Jun-13,end,17,,2013,2013,2,1,2,alive,,29.2,52.5,,0.68,,,0.68,29.2,52.5,81.7,,
954,3486,EPMI,108,EPMI_108,Waratah2011,1.4,1.4,29-Jun-12,start,4,1,2012,2012,1,0,1,alive,use,,,,0.73,,,0.73,,,,44,
955,1486,EPMI,108,EPMI_108,Waratah2011,1.4,1.4,4-Jun-13,end,17,,2013,2013,1,0,1,alive,use,73.9,60.8,,1.71,1.82,1.69,1.74,168.1,237.9,406,128,
956,3488,EPMI,108,EPMI_108,Waratah2011,1.4,1.4,29-Jun-12,start,4,1,2012,2012,2,1,2,alive,,,,,,,,,,,,,
957,1488,EPMI,108,EPMI_108,Waratah2011,1.4,1.4,4-Jun-13,end,17,,2013,2013,2,1,2,alive,,60.2,113.8,,1.29,,,1.29,94.2,177.1,271.3,,
958,3143,EPMI,108,EPMI_108,Waratah2011,1.4,1.4,29-Jun-12,start,4,1,2012,2012,3,2,3,alive,,,,,,,,,,,,,
959,1143,EPMI,108,EPMI_108,Waratah2011,1.4,1.4,4-Jun-13,end,17,,2013,2013,3,2,3,alive,,34,63.3,,1.1,,,1.1,34,63.3,97.3,,
960,3142,EPMI,109,EPMI_109,Waratah2011,1.4,1.4,2-Nov-12,start,9,0.6,2012,2012,1,0,1,alive,use,,,,0.68,0.65,,0.67,,,,60,
961,1142,EPMI,109,EPMI_109,Waratah2011,1.4,1.4,4-Jun-13,end,17,,2013,2013,1,0,1,alive,use,54.2,33.9,,1.34,1.35,1.35,1.35,138.2,171.2,309.4,242,
962,3482,EPMI,109,EPMI_109,Waratah2011,1.4,1.4,2-Nov-12,start,9,0.6,2012,2012,2,1,2,alive,,,,,,,,,,,,,
963,1482,EPMI,109,EPMI_109,Waratah2011,1.4,1.4,4-Jun-13,end,17,,2013,2013,2,1,2,alive,,84,137.3,,1.05,,,1.05,84,137.3,221.3,,
964,3480,EPMI,111,EPMI_111,Waratah2011,1.4,1.4,3-May-12,start,2,1,2012,2012,1,0,1,alive,do_not_use,,,,,,,,,,,13,"bag says LEMC, but EPMI; previously LEMC_101"
965,1480,EPMI,111,EPMI_111,Waratah2011,1.4,1.4,4-Jun-13,end,17,,2013,2013,1,0,1,alive,do_not_use,37.3,75.7,,1.05,0.97,1.01,1.01,37.3,75.7,113,121,"bag says LEMC, but EPMI; previously LEMC_101"
966,3539,EPMI,112,EPMI_112,Waratah2011,1.4,1.4,3-May-12,start,2,1,2012,2012,1,0,1,alive,do_not_use,,,,,,,,,,,35,"bag says LEMC, but EPMI; previously LEMC_102"
967,1539,EPMI,112,EPMI_112,Waratah2011,1.4,1.4,4-Jun-13,end,17,,2013,2013,1,0,1,alive,do_not_use,37.9,4.6,,1.44,1.42,1.51,1.46,138.1,170.3,308.4,232,"bag says LEMC, but EPMI; previously LEMC_102"
968,3476,EPMI,112,EPMI_112,Waratah2011,1.4,1.4,3-May-12,start,2,1,2012,2012,2,1,2,alive,,,,,,,,,,,,,"bag says LEMC, but EPMI; previously LEMC_102"
969,1476,EPMI,112,EPMI_112,Waratah2011,1.4,1.4,4-Jun-13,end,17,,2013,2013,2,1,2,alive,,100.2,165.7,,1.21,,,1.21,100.2,165.7,265.9,,"bag says LEMC, but EPMI; previously LEMC_102"
970,3473,EPMI,113,EPMI_113,Waratah2011,1.4,1.4,4-May-12,start,2,1,2012,2012,1,0,1,alive,do_not_use,,,,,,,,,,,43,"bag says LEMC, but EPMI; previously LEMC_103"
971,1473,EPMI,113,EPMI_113,Waratah2011,1.4,1.4,4-Jun-13,end,17,,2013,2013,1,0,1,alive,do_not_use,197.4,213.7,,2.05,2.18,2.33,2.19,301,353.5,654.5,212,"bag says LEMC, but EPMI; previously LEMC_103"
972,3475,EPMI,113,EPMI_113,Waratah2011,1.4,1.4,4-May-12,start,2,1,2012,2012,1.2,1,9,alive,,,,,,,,,,,,,"bag says LEMC, but EPMI; previously LEMC_103"
973,1475,EPMI,113,EPMI_113,Waratah2011,1.4,1.4,4-Jun-13,end,17,,2013,2013,1.2,1,9,alive,,5.5,16.9,,0.44,,,0.44,5.5,16.9,22.4,,"bag says LEMC, but EPMI; previously LEMC_103"
974,3470,EPMI,113,EPMI_113,Waratah2011,1.4,1.4,4-May-12,start,2,1,2012,2012,2,1,2,alive,,,,,,,,,,,,,"bag says LEMC, but EPMI; previously LEMC_103"
975,1470,EPMI,113,EPMI_113,Waratah2011,1.4,1.4,4-Jun-13,end,17,,2013,2013,2,1,2,alive,,98.1,122.9,,1.28,,,1.28,98.1,122.9,221,,"bag says LEMC, but EPMI; previously LEMC_103"
976,,EPMI,116,EPMI_116,Waratah2011,1.4,1.4,9-Aug-12,start,5,0.8,2012,2012,1,0,1,alive,do_not_use,,,,,,,,,,,35,"bag says LEES, but EPMI; previouos called LEES_116"
977,,EPMI,116,EPMI_116,Waratah2011,1.4,1.4,13-Jun-13,end,18,,2013,2013,1,0,1,alive,do_not_use,31.2,66.1,,0.7,0.72,0.71,0.71,31.2,66.1,97.3,117,"bag says LEES, but EPMI; previouos called LEES_116"
978,,GRSP,101,GRSP_101,Waratah2011,1.4,1.4,3-May-12,start,2,1,2012,2012,1,0,1,alive,use,,,,1.43,,,1.43,,,,98,
979,,GRSP,101,GRSP_101,Waratah2011,1.4,1.4,31-May-13,end,17,,2013,2013,1,0,1,alive,use,461,1174.1,,2.77,2.98,2.89,2.88,623.6,1824.3,2447.9,240,
980,,GRSP,101,GRSP_101,Waratah2011,1.4,1.4,3-May-12,start,2,1,2012,2012,2,1,2,alive,,,,,,,,,,,,,
981,,GRSP,101,GRSP_101,Waratah2011,1.4,1.4,31-May-13,end,17,,2013,2013,2,1,2,alive,,162.6,650.2,,1.58,,,1.58,162.6,650.2,812.8,,
982,,GRSP,102,GRSP_102,Waratah2011,1.4,1.4,3-May-12,start,2,1,2012,2012,1,0,1,alive,use,,,,1.41,,,1.41,,,,100,
983,,GRSP,102,GRSP_102,Waratah2011,1.4,1.4,31-May-13,end,17,,2013,2013,1,0,1,alive,use,284.7,560.7,,2.28,2.34,2.28,2.3,357,995.1,1352.1,188,
984,,GRSP,102,GRSP_102,Waratah2011,1.4,1.4,3-May-12,start,2,1,2012,2012,2,1,2,alive,,,,,,,,,,,,,
985,,GRSP,102,GRSP_102,Waratah2011,1.4,1.4,31-May-13,end,17,,2013,2013,2,1,2,alive,,72.3,434.4,,1.12,,,1.12,72.3,434.4,506.7,,
986,,GRSP,103,GRSP_103,Waratah2011,1.4,1.4,3-May-12,start,2,1,2012,2012,1,0,1,alive,use,,,,1.06,,,1.06,,,,110,
987,,GRSP,103,GRSP_103,Waratah2011,1.4,1.4,31-May-13,end,17,,2013,2013,1,0,1,alive,use,600.2,1049,,2.67,2.82,2.93,2.81,873.7,2042.1,2915.8,310,
988,,GRSP,103,GRSP_103,Waratah2011,1.4,1.4,3-May-12,start,2,1,2012,2012,2,1,2,alive,,,,,,,,,,,,,
989,,GRSP,103,GRSP_103,Waratah2011,1.4,1.4,31-May-13,end,17,,2013,2013,2,1,2,alive,,273.5,993.1,,1.45,,,1.45,273.5,993.1,1266.6,,
990,,GRSP,103,GRSP_103,Waratah2011,1.4,1.4,31-May-13,end,17,,2013,2013,shed,,,alive,,5.7,,,,,,,,,,,
991,,GRSP,104,GRSP_104,Waratah2011,1.4,1.4,3-May-12,start,2,1,2012,2012,1,0,1,alive,use,,,,1.43,,,1.43,,,,97,
992,,GRSP,104,GRSP_104,Waratah2011,1.4,1.4,31-May-13,end,17,,2013,2013,1,0,1,alive,use,998.1,2624.5,,3.29,3.4,3.56,3.42,1231.1,3458.6,4689.7,325,
993,,GRSP,104,GRSP_104,Waratah2011,1.4,1.4,3-May-12,start,2,1,2012,2012,2,1,2,alive,,,,,,,,,,,,,
994,,GRSP,104,GRSP_104,Waratah2011,1.4,1.4,31-May-13,end,17,,2013,2013,2,1,2,alive,,233,834.1,,1.45,,,1.45,233,834.1,1067.1,,
995,,GRSP,105,GRSP_105,Waratah2011,1.4,1.4,4-May-12,start,2,1,2012,2012,1,0,1,alive,use,,,,1.71,,,1.71,,,,203,
996,,GRSP,105,GRSP_105,Waratah2011,1.4,1.4,31-May-13,end,17,,2013,2013,1,0,1,alive,use,5900,8540,,6.84,6.72,6.76,6.77,7162.6,10523.3,17685.9,480,
997,,GRSP,105,GRSP_105,Waratah2011,1.4,1.4,4-May-12,start,2,1,2012,2012,2,1,2,alive,,,,,,,,,,,,,
998,,GRSP,105,GRSP_105,Waratah2011,1.4,1.4,31-May-13,end,17,,2013,2013,2,1,2,alive,,746.6,949.9,,2.99,,,2.99,1262.6,1983.3,3245.9,,
999,,GRSP,105,GRSP_105,Waratah2011,1.4,1.4,4-May-12,start,2,1,2012,2012,3,2,3,alive,,,,,,,,,,,,,
1000,,GRSP,105,GRSP_105,Waratah2011,1.4,1.4,31-May-13,end,17,,2013,2013,3,2,3,alive,,516,1033.4,,1.79,,,1.79,516,1033.4,1549.4,,
1001,3162,GRSP,106,GRSP_106,Waratah2011,1.4,1.4,4-May-12,start,2,1,2012,2012,1,0,1,alive,use,,,,2.25,,,2.25,,,,225,
1002,1162,GRSP,106,GRSP_106,Waratah2011,1.4,1.4,4-Jun-13,end,17,,2013,2013,1,0,1,alive,use,5260,4600,,8.12,7.8,8.21,8.04,10196.8,13381.7,23578.5,580,
1003,3171,GRSP,106,GRSP_106,Waratah2011,1.4,1.4,4-May-12,start,2,1,2012,2012,2,1,2,alive,,,,,0.92,,,0.92,,,,,
1004,1171,GRSP,106,GRSP_106,Waratah2011,1.4,1.4,4-Jun-13,end,17,,2013,2013,2,1,2,alive,,3460,5700,,4.43,,,4.43,4936.8,8781.7,13718.5,,
1005,3173,GRSP,106,GRSP_106,Waratah2011,1.4,1.4,4-May-12,start,2,1,2012,2012,3,2,3,alive,,,,,,,,,,,,,
1006,1173,GRSP,106,GRSP_106,Waratah2011,1.4,1.4,4-Jun-13,end,17,,2013,2013,3,2,3,alive,,317.4,835.3,,1.49,,,1.49,317.4,835.3,1152.7,,
1007,3174,GRSP,106,GRSP_106,Waratah2011,1.4,1.4,4-May-12,start,2,1,2012,2012,1.1.2,2,13,alive,,,,,,,,,,,,,
1008,1174,GRSP,106,GRSP_106,Waratah2011,1.4,1.4,4-Jun-13,end,17,,2013,2013,1.1.2,2,13,alive,,1159.4,2246.4,,2.23,,,2.23,1159.4,2246.4,3405.8,,
1009,,GRSP,107,GRSP_107,Waratah2011,1.4,1.4,4-May-12,start,2,1,2012,2012,1,0,1,alive,use,,,,1.99,,,1.99,,,,243,
1010,,GRSP,107,GRSP_107,Waratah2011,1.4,1.4,31-May-13,end,17,,2013,2013,1,0,1,alive,use,8060,3415.3,,8.13,8.01,7.79,7.98,8614.6,4112,12726.6,375,
1011,,GRSP,107,GRSP_107,Waratah2011,1.4,1.4,4-May-12,start,2,1,2012,2012,2,1,2,alive,,,,,,,,,,,,,
1012,,GRSP,107,GRSP_107,Waratah2011,1.4,1.4,31-May-13,end,17,,2013,2013,2,1,2,alive,,554.6,696.7,,1.98,,,1.98,554.6,696.7,1251.3,,
1013,,GRSP,110,GRSP_110,Waratah2011,1.4,1.4,18-May-12,start,2,1,2012,2012,1,0,1,alive,use,,,,1.45,,,1.45,,,,110,
1014,,GRSP,110,GRSP_110,Waratah2011,1.4,1.4,31-May-13,end,17,,2013,2013,1,0,1,alive,use,707.5,1927.6,,2.76,2.89,2.78,2.81,978.8,2822.2,3801,260,
1015,,GRSP,110,GRSP_110,Waratah2011,1.4,1.4,18-May-12,start,2,1,2012,2012,2,1,2,alive,,,,,,,,,,,,,
1016,,GRSP,110,GRSP_110,Waratah2011,1.4,1.4,31-May-13,end,17,,2013,2013,2,1,2,alive,,271.3,894.6,,1.62,,,1.62,271.3,894.6,1165.9,,
1017,3538,GRSP,111,GRSP_111,Waratah2011,1.4,1.4,29-Jun-12,start,4,1,2012,2012,1,0,1,alive,use,,,,1.58,1.46,1.61,1.55,,,,127,previously GRBU_101
1018,1538,GRSP,111,GRSP_111,Waratah2011,1.4,1.4,4-Jun-13,end,17,,2013,2013,1,0,1,alive,use,560.1,1284.8,,3.01,2.89,3.09,3,934.8,2332.7,3267.5,355,previously GRBU_101
1019,3466,GRSP,111,GRSP_111,Waratah2011,1.4,1.4,29-Jun-12,start,4,1,2012,2012,2,1,2,alive,,,,,,,,,,,,,previously GRBU_101
1020,1466,GRSP,111,GRSP_111,Waratah2011,1.4,1.4,4-Jun-13,end,17,,2013,2013,2,1,2,alive,,217.8,547.3,,1.8,,,1.8,374.7,1047.9,1422.6,,previously GRBU_101
1021,3540,GRSP,111,GRSP_111,Waratah2011,1.4,1.4,29-Jun-12,start,4,1,2012,2012,3,2,3,alive,,,,,,,,,,,,,previously GRBU_101
1022,1540,GRSP,111,GRSP_111,Waratah2011,1.4,1.4,4-Jun-13,end,17,,2013,2013,3,2,3,alive,,156.9,500.6,,1.17,,,1.17,156.9,500.6,657.5,,previously GRBU_101
1023,3536,GRSP,112,GRSP_112,Waratah2011,1.4,1.4,29-Jun-12,start,4,1,2012,2012,1,0,1,alive,use,,,,1.98,1.93,1.94,1.95,,,,165,previously GRBU_102
1024,1536,GRSP,112,GRSP_112,Waratah2011,1.4,1.4,4-Jun-13,end,17,,2013,2013,1,0,1,alive,use,1182.4,1424.1,,4.25,4.57,4.18,4.33,2288.7,4148.9,6437.6,360,previously GRBU_102
1025,3534,GRSP,112,GRSP_112,Waratah2011,1.4,1.4,29-Jun-12,start,4,1,2012,2012,2,1,2,alive,,,,,,,,,,,,,previously GRBU_102
1026,1534,GRSP,112,GRSP_112,Waratah2011,1.4,1.4,4-Jun-13,end,17,,2013,2013,2,1,2,alive,,717.8,1861.8,,2.39,,,2.39,1106.3,2724.8,3831.1,,previously GRBU_102
1027,3172,GRSP,112,GRSP_112,Waratah2011,1.4,1.4,29-Jun-12,start,4,1,2012,2012,3,2,3,alive,,,,,,,,,,,,,previously GRBU_102
1028,1172,GRSP,112,GRSP_112,Waratah2011,1.4,1.4,4-Jun-13,end,17,,2013,2013,3,2,3,alive,,388.5,863,,1.35,,,1.35,388.5,863,1251.5,,previously GRBU_102
1029,,GRSP,114,GRSP_114,Waratah2011,1.4,1.4,29-Jun-12,start,4,1,2012,2012,1,0,1,alive,use,,,,2.27,2.21,2.21,2.23,,,,295,previously GRBU_104
1030,,GRSP,114,GRSP_114,Waratah2011,1.4,1.4,13-Jun-13,end,18,,2013,2013,1,0,1,alive,use,6270,9880,,6.04,6.01,6.06,6.04,8190.7,13994.5,22185.2,530,previously GRBU_104
1031,,GRSP,114,GRSP_114,Waratah2011,1.4,1.4,29-Jun-12,start,4,1,2012,2012,1.2,1,9,alive,,,,,1.37,,,1.37,,,,,previously GRBU_104
1032,,GRSP,114,GRSP_114,Waratah2011,1.4,1.4,13-Jun-13,end,18,,2013,2013,1.2,1,9,alive,,824.3,1868.7,,2.42,,,2.42,824.3,1868.7,2693,,previously GRBU_104
1033,,GRSP,114,GRSP_114,Waratah2011,1.4,1.4,29-Jun-12,start,4,1,2012,2012,2,1,2,alive,,,,,,,,,,,,,previously GRBU_104
