sample,approx_dry_weight_mg,species,site,age,individual,tissue_complete,tissue_simple,tissue,live_dead,no_sample,Al,B,Ca,Cu,Fe,K,Mg ,Mn,Na,P,S,Zn,C,N
MQ_049_leaves,309.7,GRBU,Basin1981,32,GRBU_904,leaves,leaves,leaves,live,use,193,17,0.344,1.2,65,0.139,0.208,38,834,166,0.094,6,47.8,0.911
MQ_050_senescent leaves,193.4,GRBU,Waratah2003,9,GRBU,senescent_leaves,senescent_leaves,leaves,dead,use,354,23,0.564,0.8,116,0.052,0.277,33,718,39,0.097,6,48.6,0.762
MQ_051_senescent leaves,204.5,GRBU,Basin2005,7,GRBU,senescent_leaves,senescent_leaves,leaves,dead,use,364,17,0.5,1,173,0.104,0.197,19,1044,114,0.106,7,49.7,0.969
MQ_052_leaves,496.4,GRSP,Wilunga2012,1.4,GRSP_302,leaves,leaves,leaves,live,use,229,22,0.556,1.6,48,0.176,0.252,21,610,281,0.117,14,47.8,1.054
MQ_053_leaves,742.4,GRSP,Waratah2011,2.4,GRSP_155,leaves,leaves,leaves,live,use,151,25,0.276,2.1,38,0.183,0.193,28,689,187,0.096,9,48.3,1.12
MQ_054_leaves,604.5,GRSP,Basin2005,7,GRSP_003,leaves,leaves,leaves,live,use,162,22,0.352,1.6,80,0.266,0.185,13,961,212,0.131,8,50.6,1.092
MQ_055_leaves,738.8,GRSP,Waratah2003,9,GRSP_803,leaves,leaves,leaves,live,use,370,11,0.421,2.1,62,0.171,0.218,5,790,156,0.112,9,49.8,1.167
MQ_056_senescent leaves,231,GRSP,Waratah2011,2.4,GRSP,senescent_leaves,senescent_leaves,leaves,dead,use,427,25,0.998,0.8,63,0.023,0.228,108,449,33,0.089,15,50.1,0.752
MQ_057_senescent leaves,291.3,GRSP,Waratah2003,9,GRSP,senescent_leaves,senescent_leaves,leaves,dead,use,673,17,0.982,1.6,143,0.026,0.123,78,325,21,0.089,8,51.1,0.638
MQ_058_leaves,494.6,HATE,Wilunga2012,1.4,HATE_308,leaves,leaves,leaves,live,use,289,17,0.619,0.8,12,0.302,0.253,85,2797,159,0.197,11,45.2,0.715
MQ_059_leaves,705.4,HATE,Wilunga2012,1.4,HATE_311,leaves,leaves,leaves,live,use,174,10,0.642,0.9,9,0.208,0.312,113,2911,109,0.081,13,44.8,0.704
MQ_060_leaves,583.8,HATE,Wilunga2012,1.4,HATE_312,leaves,leaves,leaves,live,use,342,13,0.623,0.7,11,0.169,0.31,60,2809,80,0.247,13,45,0.69
MQ_061_leaves,1577.8,HATE,Waratah2011,2.4,HATE_153,leaves,leaves,leaves,live,use,321,25,1.112,1.7,12,0.318,0.313,52,2046,133,0.232,15,46.5,0.838
MQ_062_leaves,725.5,HATE,Waratah2011,2.4,HATE_156,leaves,leaves,leaves,live,use,310,19,0.665,1,29,0.247,0.236,39,2044,116,0.151,10,45.8,0.801
MQ_063_leaves,839.8,HATE,Waratah2011,2.4,HATE_157,leaves,leaves,leaves,live,use,299,16,0.697,1.4,9,0.311,0.303,38,3195,153,0.206,10,46.1,0.799
MQ_064_leaves,1971.1,HATE,Basin2005,7,HATE_003,leaves,leaves,leaves,live,use,386,13,0.374,1.5,18,0.264,0.202,18,2286,115,0.128,9,48,0.796
