sample,approx_dry_weight_mg,species,site,age,individual,tissue_complete,tissue_simple,tissue,live_dead,no_sample,Al,B,Ca,Cu,Fe,K,Mg ,Mn,Na,P,S,Zn,C,N
MQ_273_wood_from_tip,168.1,EPMI,Waratah2003,9,EPMI_80X,wood_from_tip,wood_from_tip,sapwood,live,use,20,34,0.262,3.9,30,0.15,0.03,206,213,46,0.06,11,44.9,0.163
MQ_274_shed_bark,157.5,EPMI,Waratah2003,9,EPMI_80Y,shed_bark,shed_bark,bark,dead,use,126,39,0.433,8.2,223,0.098,0.067,810,403,66,0.131,17,45.2,0.543
MQ_275_shed_sapwood,150,EPMI,Waratah2003,9,EPMI_80Y,shed_sapwood,shed_sapwood,sapwood,dead,use,11,32,0.155,3.8,17,0.056,0.026,297,239,27,0.108,10,44.3,0.271
MQ_276_shed_bark,176.4,EPMI,Waratah2003,9,EPMI_80Z,shed_bark,shed_bark,bark,dead,use,177,34,0.374,7.7,284,0.07,0.059,1109,298,51,0.139,20,45.1,0.557
MQ_277_shed_sapwood,200,EPMI,Waratah2003,9,EPMI_80Z,shed_sapwood,shed_sapwood,sapwood,dead,use,9,28,0.087,2.1,16,0.034,0.012,280,106,19,0.05,8,44.5,0.263
MQ_278_bark,123.4,EPMI,Waratah2003,9,EPMI_80Y,bark,bark,bark,live,insufficient_sample_for_CN,102,91,0.575,6.6,157,0.338,0.052,886,602,77,0.128,26,,
MQ_279_wood_from_base,248.9,EPMI,Waratah2003,9,EPMI_807,wood_from_base,wood_from_base,wood_from_base,mixed,use,20,78,0.135,2.8,34,0.476,0.03,561,843,143,0.134,10,45,0.195
MQ_280_wood_from_middle,170.3,EPMI,Waratah2003,9,EPMI_807,wood_from_middle,wood_from_middle,wood_from_middle,mixed,use,17,62,0.047,1.3,26,0.183,0.017,53,403,58,0.024,13,44.3,0.224
MQ_281_wood_from_tip,193.7,EPMI,Waratah2003,9,EPMI_80Y,wood_from_tip,wood_from_tip,sapwood,live,use,15,42,0.186,3.9,23,0.12,0.02,87,534,51,0.041,8,44.6,0.241
MQ_282_bark,131.2,EPMI,Waratah2003,9,EPMI_80Z,bark,bark,bark,live,use,562,92,0.484,7.1,688,0.177,0.052,519,437,97,0.095,28,44.5,0.544
MQ_283_wood_from_base,247.1,EPMI,Waratah2003,9,EPMI_808,wood_from_base,wood_from_base,wood_from_base,mixed,use,20,61,0.058,3.2,20,0.122,0.018,172,330,51,0.062,14,44.7,0.218
MQ_284_wood_from_middle,115.5,EPMI,Waratah2003,9,EPMI_808,wood_from_middle,wood_from_middle,wood_from_middle,mixed,insufficient_sample_for_CN,16,66,0.072,1.8,34,0.254,0.034,149,518,75,0.064,16,,
MQ_285_wood_from_tip,195.6,EPMI,Waratah2003,9,EPMI_80Z,wood_from_tip,wood_from_tip,sapwood,live,use,13,36,0.291,2.9,25,0.135,0.05,66,554,52,0.041,10,44.8,0.23
MQ_286_bark,128.4,EPMI,Basin1981,32,EPMI_90X,bark,bark,bark,live,use,81,48,0.42,73.3,143,0.35,0.053,609,1043,112,0.097,77,44.9,0.512
MQ_287_shed_bark,100,EPMI,Basin1981,32,EPMI_90X,shed_bark,shed_bark,bark,dead,insufficient_sample_for_CN,290,34,0.409,76.9,489,0.084,0.072,225,319,121,0.129,73,,
MQ_288_shed_sapwood,152.6,EPMI,Basin1981,32,EPMI_90X,shed_sapwood,shed_sapwood,sapwood,dead,use,9,24,0.139,3.4,13,0.03,0.027,114,127,54,0.078,9,44.7,0.186
MQ_289_wood_from_base,223.7,EPMI,Basin1981,32,EPMI_901,wood_from_base,wood_from_base,wood_from_base,mixed,use,14,23,0.145,3.1,21,0.289,0.037,1109,735,56,0.117,13,44.5,0.127
MQ_290_wood_from_middle,126.5,EPMI,Basin1981,32,EPMI_901,wood_from_middle,wood_from_middle,wood_from_middle,mixed,use,20,113,0.051,1.2,14,0.163,0.022,320,334,45,0.037,9,43.8,0.068
MQ_291_wood_from_tip,107.6,EPMI,Basin1981,32,EPMI_90X,wood_from_tip,wood_from_tip,sapwood,live,insufficient_sample_for_CN,22,73,0.186,5.7,21,0.202,0.032,48,726,123,0.041,19,,
MQ_292_bark,146.6,EPMI,Basin1981,32,EPMI_905,bark,bark,bark,live,use,268,109,1.26,7,333,0.101,0.041,830,315,85,0.135,28,45.3,0.482
MQ_293_shed_bark,115,EPMI,Basin1981,32,EPMI_90Y,shed_bark,shed_bark,bark,dead,insufficient_sample_for_CN,248,51,0.379,8.7,446,0.081,0.077,1072,290,61,0.156,26,,
MQ_294_shed_sapwood,149.4,EPMI,Basin1981,32,EPMI_90Y,shed_sapwood,shed_sapwood,sapwood,dead,use,13,14,0.28,2.6,19,0.045,0.026,306,201,22,0.048,14,44.6,0.168
MQ_295_wood_from_base,386.1,EPMI,Basin1981,32,EPMI_905,wood_from_base,wood_from_base,wood_from_base,mixed,use,7,36,0.063,1,15,0.098,0.011,437,420,21,0.053,3,44.7,0.131
MQ_296_wood_from_middle,345.9,EPMI,Basin1981,32,EPMI_905,wood_from_middle,wood_from_middle,wood_from_middle,mixed,use,13,79,0.084,1.5,18,0.157,0.021,227,364,36,0.042,6,43.7,0.055
MQ_297_wood_from_tip,143.1,EPMI,Basin1981,32,EPMI_90Y,wood_from_tip,wood_from_tip,sapwood,live,use,13,34,0.161,5.7,20,0.226,0.022,66,696,100,0.042,10,44.6,0.117
MQ_298_bark,151,EPMI,Basin1981,32,EPMI_906,bark,bark,bark,live,use,123,61,0.554,5.2,205,0.184,0.057,1019,490,78,0.089,21,45.1,0.468
MQ_299_shed_bark,124.7,EPMI,Basin1981,32,EPMI_90Z,shed_bark,shed_bark,bark,dead,use,205,97,0.363,9.1,327,0.115,0.07,425,488,57,0.133,41,44.8,0.438
MQ_300_shed_sapwood,139.6,EPMI,Basin1981,32,EPMI_90Z,shed_sapwood,shed_sapwood,sapwood,dead,use,10,24,0.277,2.5,15,0.03,0.02,161,187,21,0.038,9,44.3,0.174
MQ_301_wood_from_base,181.3,EPMI,Basin1981,32,EPMI_906,wood_from_base,wood_from_base,wood_from_base,mixed,use,10,41,0.053,0.8,20,0.086,0.017,184,177,36,0.023,10,44,0.105
MQ_302_wood_from_middle,205.3,EPMI,Basin1981,32,EPMI_906,wood_from_middle,wood_from_middle,wood_from_middle,mixed,use,9,37,0.054,0.7,22,0.117,0.021,143,276,42,0.025,10,43.5,0.032
MQ_303_wood_from_tip,232.4,EPMI,Basin1981,32,EPMI_90Z,wood_from_tip,wood_from_tip,sapwood,live,use,13,30,0.077,4.4,16,0.165,0.017,70,376,57,0.044,9,43.3,0.132
MQ_304_bark,235.6,GRBU,Wilunga2012,1.4,GRBU_30X,bark,bark,bark,live,use,109,46,0.322,5,165,0.417,0.088,53,1083,206,0.083,25,49,0.242
MQ_305_wood_from_base,592.1,GRBU,Wilunga2012,1.4,GRBU_310,wood_from_base,wood_from_base,wood_from_base,mixed,use,60,97,0.316,3.2,30,0.375,0.128,67,529,212,0.209,24,46.7,0.02
MQ_306_wood_from_middle,384.3,GRBU,Wilunga2012,1.4,GRBU_310,wood_from_middle,wood_from_middle,wood_from_middle,mixed,use,68,39,0.41,3.5,24,0.326,0.213,125,623,126,0.205,25,44.1,0.029
MQ_307_wood_from_tip,250.1,GRBU,Wilunga2012,1.4,GRBU_310,wood_from_tip,wood_from_tip,sapwood,live,use,22,33,0.211,2.3,12,0.171,0.098,46,369,105,0.096,30,45.1,0.12
MQ_308_shed_sapwood,SKIPPED,GRBU,Wilunga2012,1.4,GRBU_311,shed_sapwood,shed_sapwood,sapwood,dead,no_sample,,,,,,,,,,,,,,
MQ_309_shed_bark,135.9,GRBU,Waratah2011,2.4,GRBU_15X,shed_bark,shed_bark,bark,dead,use,205,80,0.585,6.9,258,0.086,0.114,168,384,89,0.074,45,48.4,0.198
MQ_310_shed_sapwood,143.5,GRBU,Waratah2011,2.4,GRBU_15X,shed_sapwood,shed_sapwood,sapwood,dead,use,22,37,0.164,0.8,14,0.028,0.045,48,153,20,0.018,12,46.7,0.032
MQ_311_bark,154.4,GRBU,Waratah2011,2.4,GRBU_157,bark,bark,bark,live,use,156,38,0.657,5.2,156,0.152,0.119,231,382,179,0.205,78,49.2,0.256
MQ_312_wood_from_base,401.1,GRBU,Waratah2011,2.4,GRBU_157,wood_from_base,wood_from_base,wood_from_base,mixed,use,76,241,0.632,2.7,26,0.123,0.035,66,495,60,0.301,19,46.5,0.025
MQ_313_wood_from_middle,624.3,GRBU,Waratah2011,2.4,GRBU_157,wood_from_middle,wood_from_middle,wood_from_middle,mixed,use,16,29,0.516,3.6,24,0.091,0.055,67,478,67,0.224,23,45.2,0.031
MQ_314_wood_from_tip,211.6,GRBU,Waratah2011,2.4,GRBU_15X,wood_from_tip,wood_from_tip,sapwood,live,use,24,48,0.166,14.5,30,0.271,0.039,53,746,108,0.055,15,45.8,0.135
MQ_315_bark,133.8,GRBU,Basin2005,7,GRBU_00X,bark,bark,bark,live,use,75,66,0.262,2.7,53,0.114,0.059,32,560,84,0.064,14,48.7,0.237
MQ_316_shed_bark,166.9,GRBU,Basin2005,7,GRBU_00X,shed_bark,shed_bark,bark,dead,use,142,46,0.318,10,195,0.046,0.057,35,268,57,0.071,29,48.6,0.217
MQ_317_shed_sapwood,133.6,GRBU,Basin2005,7,GRBU_00X,shed_sapwood,shed_sapwood,sapwood,dead,insufficient_sample_for_CN,27,32,0.07,2.9,9,0.016,0.018,10,97,22,0.026,14,,
MQ_318_wood_from_base,843.4,GRBU,Basin2005,7,GRBU_002,wood_from_base,wood_from_base,wood_from_base,mixed,use,14,38,0.241,0.8,36,0.096,0.034,25,318,36,0.133,14,45.3,0.025
MQ_319_wood_from_middle,335.1,GRBU,Basin2005,7,GRBU_002,wood_from_middle,wood_from_middle,wood_from_middle,mixed,use,38,95,0.183,1.5,28,0.14,0.034,25,304,70,0.099,31,45.8,0.036
MQ_320_wood_from_tip,119.5,GRBU,Basin2005,7,GRBU_002,wood_from_tip,wood_from_tip,sapwood,live,insufficient_sample_for_CN,66,87,0.373,7.7,21,0.299,0.067,89,1014,130,0.072,9,,
MQ_321_bark,236.3,GRBU,Waratah2003,9,GRBU_80X,bark,bark,bark,live,use,50,65,0.297,2.4,40,0.142,0.09,57,420,103,0.069,6,48.4,0.266
MQ_322_shed_bark,191.5,GRBU,Waratah2003,9,GRBU_80X,shed_bark,shed_bark,bark,dead,use,73,146,0.451,34.1,60,0.067,0.112,48,456,97,0.064,43,47.1,0.244
MQ_323_shed_sapwood,219.6,GRBU,Waratah2003,9,GRBU_80X,shed_sapwood,shed_sapwood,sapwood,dead,use,15,43,0.052,1.3,25,0.02,0.028,8,117,26,0.017,10,44.7,0.038
MQ_324_wood_from_base,1017.1,GRBU,Waratah2003,9,GRBU_802,wood_from_base,wood_from_base,wood_from_base,mixed,use,47,120,0.116,1.2,46,0.062,0.026,13,402,45,0.06,25,44.7,0.023
MQ_325_wood_from_middle,287.6,GRBU,Waratah2003,9,GRBU_802,wood_from_middle,wood_from_middle,wood_from_middle,mixed,use,44,51,0.197,5,42,0.152,0.061,41,1362,126,0.084,17,45.4,0.028
MQ_326_wood_from_tip,107.8,GRBU,Waratah2003,9,GRBU_80X,wood_from_tip,wood_from_tip,sapwood,live,insufficient_sample_for_CN,51,80,0.278,19,34,0.271,0.128,13,580,159,0.055,36,,
MQ_327_bark,367.1,GRBU,Basin1981,32,GRBU_90X,bark,bark,bark,live,use,42,32,0.283,2.3,43,0.113,0.087,53,417,71,0.071,5,48.5,0.275
MQ_328_shed_bark,178.6,GRBU,Basin1981,32,GRBU_90X,shed_bark,shed_bark,bark,dead,use,50,43,0.384,5.5,54,0.032,0.071,61,212,45,0.067,8,47.3,0.251
MQ_329_shed_sapwood,330.4,GRBU,Basin1981,32,GRBU_90X,shed_sapwood,shed_sapwood,sapwood,dead,use,15,41,0.051,1.2,27,0.018,0.022,13,95,21,0.015,8,44.7,0.042
MQ_330_wood_from_base,875.1,GRBU,Basin1981,32,GRBU_906,wood_from_base,wood_from_base,wood_from_base,mixed,use,24,63,0.093,0.6,30,0.067,0.042,11,487,50,0.062,10,45.4,0.025
MQ_331_wood_from_middle,136.4,GRBU,Basin1981,32,GRBU_906,wood_from_middle,wood_from_middle,wood_from_middle,mixed,use,22,72,0.047,3.9,19,0.143,0.038,10,363,64,0.025,12,45.2,0.032
MQ_332_wood_from_tip,127.2,GRBU,Basin1981,32,GRBU_90X,wood_from_tip,wood_from_tip,sapwood,live,use,27,69,0.084,11.1,18,0.303,0.105,17,409,103,0.06,8,46.4,0.137
MQ_333_bark,202.9,GRSP,Wilunga2012,1.4,GRSP_30X,bark,bark,bark,live,use,76,59,0.496,3.2,70,0.348,0.127,159,544,235,0.153,50,48.6,0.217
MQ_334_shed_bark,SKIPPED,GRSP,Wilunga2012,1.4,GRSP_30X,shed_bark,shed_bark,bark,dead,no_sample,,,,,,,,,,,,,,
MQ_335_shed_sapwood,SKIPPED,GRSP,Wilunga2012,1.4,GRSP_30X,shed_sapwood,shed_sapwood,sapwood,dead,no_sample,,,,,,,,,,,,,,
MQ_336_wood_from_base,194,GRSP,Wilunga2012,1.4,GRSP_302,wood_from_base,wood_from_base,wood_from_base,mixed,use,30,41,0.394,17.8,44,0.138,0.07,34,91,603,0.252,25,48.3,0.194
MQ_337_wood_from_tip,121.2,GRSP,Wilunga2012,1.4,GRSP_302,wood_from_tip,wood_from_tip,sapwood,live,use,37,94,0.597,8.6,24,0.213,0.073,146,153,260,0.133,50,44.1,0.143
MQ_338_bark,187.9,GRSP,Waratah2011,2.4,GRSP_155,bark,bark,bark,live,insufficient_sample_for_CN,125,87,0.655,5.6,78,0.185,0.122,177,325,230,0.267,58,,
MQ_339_wood_from_base,269,GRSP,Waratah2011,2.4,GRSP_155,wood_from_base,wood_from_base,wood_from_base,mixed,use,27,49,0.419,3.7,31,0.12,0.038,26,154,119,0.277,36,45.3,0.132
MQ_340_wood_from_middle,181.8,GRSP,Waratah2011,2.4,GRSP_155,wood_from_middle,wood_from_middle,wood_from_middle,mixed,use,64,80,0.342,4.2,14,0.327,0.105,152,397,210,0.159,27,43.3,0.127
MQ_341_wood_from_tip,135.8,GRSP,Waratah2011,2.4,GRSP_15X,wood_from_tip,wood_from_tip,sapwood,live,use,41,74,0.392,12.2,38,0.24,0.037,486,634,107,0.066,25,43.7,0.122
MQ_342_shed_bark,141.4,GRSP,Waratah2011,2.4,GRSP_15X,shed_bark,shed_bark,bark,dead,insufficient_sample_for_CN,147,42,0.535,5.9,181,0.057,0.074,418,280,65,0.082,71,,
MQ_343_shed_sapwood,136.6,GRSP,Waratah2011,2.4,GRSP_15X,shed_sapwood,shed_sapwood,sapwood,dead,insufficient_sample_for_CN,23,53,0.194,3.9,22,0.031,0.035,223,165,30,0.031,40,,
MQ_344_bark,162.9,GRSP,Basin2005,7,GRSP_00X,bark,bark,bark,live,use,79,83,0.433,3.6,55,0.153,0.114,190,328,79,0.089,42,49.5,0.219
MQ_345_wood_from_base,466.6,GRSP,Basin2005,7,GRSP_003,wood_from_base,wood_from_base,wood_from_base,mixed,use,25,83,0.442,3.2,18,0.126,0.029,83,134,55,0.27,20,44.2,0.146
MQ_346_wood_from_middle,214.4,GRSP,Basin2005,7,GRSP_003,wood_from_middle,wood_from_middle,wood_from_middle,mixed,use,38,103,0.404,4.9,35,0.241,0.088,230,258,120,0.241,53,43.7,0.119
MQ_347_wood_from_tip,268.9,GRSP,Basin2005,7,GRSP_00X,wood_from_tip,wood_from_tip,sapwood,live,use,15,51,0.236,8.6,20,0.276,0.039,33,345,108,0.047,17,43.3,0.134
MQ_348_shed_bark,180.3,GRSP,Basin2005,7,GRSP_00X,shed_bark,shed_bark,bark,dead,use,102,74,0.569,4.5,127,0.057,0.101,148,517,53,0.097,41,49.3,0.228
MQ_349_shed_sapwood,194.2,GRSP,Basin2005,7,GRSP_00X,shed_sapwood,shed_sapwood,sapwood,dead,use,20,39,0.162,2.3,9,0.022,0.035,67,207,14,0.021,27,43.1,0.125
MQ_350_bark,231.2,GRSP,Waratah2003,9,GRSP_80X,bark,bark,bark,live,use,72,43,0.282,2,54,0.08,0.079,68,555,64,0.057,54,48.5,0.237
MQ_351_shed_bark,149.9,GRSP,Waratah2003,9,GRSP_80X,shed_bark,shed_bark,bark,dead,use,112,49,0.274,4.4,162,0.055,0.08,68,256,60,0.078,33,50.1,0.245
MQ_352_shed_sapwood,282,GRSP,Waratah2003,9,GRSP_80X,shed_sapwood,shed_sapwood,sapwood,dead,use,34,44,0.171,6.4,15,0.031,0.048,147,177,30,0.053,28,43.3,0.114
MQ_353_wood_from_base,327.5,GRSP,Waratah2003,9,GRSP_803,wood_from_base,wood_from_base,wood_from_base,mixed,use,16,41,0.115,3.9,31,0.08,0.035,7,240,52,0.067,9,44.6,0.15
MQ_354_wood_from_middle,281.2,GRSP,Waratah2003,9,GRSP_803,wood_from_middle,wood_from_middle,wood_from_middle,mixed,use,90,79,0.197,1.5,24,0.129,0.062,41,420,70,0.11,16,43.1,0.132
MQ_355_wood_from_tip,182.4,GRSP,Waratah2003,9,GRSP_80X,wood_from_tip,wood_from_tip,sapwood,live,use,24,29,0.364,9.3,25,0.195,0.038,75,411,63,0.042,18,43.7,0.143
MQ_356_bark,204.6,HATE,Wilunga2012,1.4,HATE_30X,bark,bark,bark,live,use,83,41,1.307,2.7,56,0.199,0.218,246,1573,216,0.419,126,42.5,0.803
MQ_357_wood_from_base,122.6,HATE,Wilunga2012,1.4,HATE_308,wood_from_base,wood_from_base,wood_from_base,mixed,insufficient_sample_for_CN,101,44,0.234,6,54,0.235,0.166,39,1772,204,0.174,46,,
MQ_358_wood_from_tip,136.7,HATE,Wilunga2012,1.4,HATE_308,wood_from_tip,wood_from_tip,sapwood,live,insufficient_sample_for_CN,326,30,0.316,2.6,14,0.263,0.148,52,3225,174,0.177,27,,
MQ_359_bark,142,HATE,Wilunga2012,1.4,HATE_311,bark,bark,bark,live,use,234,35,0.352,2,386,0.237,0.119,141,1257,129,0.124,95,42.5,0.732
MQ_360_wood_from_base,176.1,HATE,Wilunga2012,1.4,HATE_311,wood_from_base,wood_from_base,wood_from_base,mixed,use,298,27,0.39,12.2,13,0.265,0.164,58,1504,132,0.245,38,43.2,0.583
MQ_361_wood_from_tip,127,HATE,Wilunga2012,1.4,HATE_311,wood_from_tip,wood_from_tip,sapwood,live,insufficient_sample_for_CN,28,36,0.177,4.8,6,0.25,0.099,30,1576,87,0.139,14,,
MQ_362_bark,104.5,HATE,Wilunga2012,1.4,HATE_312,bark,bark,bark,live,insufficient_sample_for_CN,288,32,0.378,3.4,124,0.255,0.186,58,2476,107,0.201,66,,
MQ_363_wood_from_base,149.3,HATE,Wilunga2012,1.4,HATE_312,wood_from_base,wood_from_base,wood_from_base,mixed,use,1098,34,0.524,10.8,8,0.456,0.388,73,3073,153,0.54,37,43.5,0.642
MQ_364_wood_from_tip,107.7,HATE,Wilunga2012,1.4,HATE_312,wood_from_tip,wood_from_tip,sapwood,live,insufficient_sample_for_CN,298,178,0.355,6.9,12,0.257,0.213,82,2630,87,0.303,30,,
MQ_365_bark,208.9,HATE,Waratah2011,2.4,HATE_15A,bark,bark,bark,live,use,59,37,0.446,2,27,0.329,0.26,87,1958,169,0.158,20,43.2,0.413
MQ_366_wood_from_base,891.5,HATE,Waratah2011,2.4,HATE_153,wood_from_base,wood_from_base,wood_from_base,mixed,use,11,15,0.091,2.1,10,0.111,0.076,10,792,41,0.061,10,43.1,0.305
MQ_367_wood_from_middle,483.5,HATE,Waratah2011,2.4,HATE_153,wood_from_middle,wood_from_middle,wood_from_middle,mixed,use,17,25,0.224,1.1,12,0.1,0.058,35,1174,30,0.102,8,43.3,0.249
MQ_368_wood_from_tip,133.5,HATE,Waratah2011,2.4,HATE_153,wood_from_tip,wood_from_tip,sapwood,live,use,120,41,0.522,7.2,10,0.265,0.348,45,1915,173,0.264,7,42.8,0.229
MQ_369_bark,104.4,HATE,Waratah2011,2.4,HATE_156,bark,bark,bark,live,insufficient_sample_for_CN,105,57,0.415,4,52,0.188,0.18,60,1679,63,0.195,51,,
MQ_370_wood_from_base,218,HATE,Waratah2011,2.4,HATE_156,wood_from_base,wood_from_base,wood_from_base,mixed,use,56,18,0.152,6.4,6,0.171,0.233,6,1170,85,0.196,25,43.4,0.313
MQ_371_wood_from_middle,134.3,HATE,Waratah2011,2.4,HATE_156,wood_from_middle,wood_from_middle,wood_from_middle,mixed,use,27,33,0.103,2.1,7,0.118,0.08,16,941,35,0.048,7,43.8,0.251
MQ_372_wood_from_tip,180.2,HATE,Waratah2011,2.4,HATE_15A,wood_from_tip,wood_from_tip,sapwood,live,use,4,16,0.354,4.5,11,0.104,0.093,3,368,79,0.243,10,43.2,0.211
MQ_373_bark,106.7,HATE,Waratah2011,2.4,HATE_157,bark,bark,bark,live,insufficient_sample_for_CN,118,93,0.357,2.6,80,0.244,0.167,63,2783,118,0.164,61,,
MQ_374_wood_from_base,284.5,HATE,Waratah2011,2.4,HATE_157,wood_from_base,wood_from_base,wood_from_base,mixed,use,117,34,0.199,2.9,14,0.201,0.136,20,2587,116,0.16,19,43.5,0.301
MQ_375_wood_from_middle,167.1,HATE,Waratah2011,2.4,HATE_157,wood_from_middle,wood_from_middle,wood_from_middle,mixed,use,99,17,0.219,2.2,5,0.334,0.176,38,3458,121,0.214,11,43.2,0.227
MQ_376_wood_from_tip,119.9,HATE,Waratah2011,2.4,HATE_157,wood_from_tip,wood_from_tip,sapwood,live,insufficient_sample_for_CN,21,31,0.187,2.4,8,0.219,0.195,10,4000,145,0.14,5,,
MQ_377_bark,203.6,HATE,Basin2005,7,HATE_003,bark,bark,bark,live,use,87,35,0.321,49.6,52,0.146,0.216,64,1415,115,0.181,71,45,0.497
MQ_378_shed_bark,159,HATE,Basin2005,7,HATE_00X,shed_bark,shed_bark,bark,dead,use,44,36,0.393,1.4,25,0.038,0.107,35,349,12,0.12,77,44.8,0.464
MQ_379_shed_sapwood,227.2,HATE,Basin2005,7,HATE_00X,shed_sapwood,shed_sapwood,sapwood,dead,use,4,17,0.2,0.2,4,0.013,0.074,16,133,5,0.12,23,43.1,0.253
MQ_380_wood_from_base,1339.6,HATE,Basin2005,7,HATE_003,wood_from_base,wood_from_base,wood_from_base,mixed,use,47,30,0.067,4.7,39,0.087,0.036,6,680,15,0.055,8,43.7,0.158
MQ_381_wood_from_middle,576,HATE,Basin2005,7,HATE_003,wood_from_middle,wood_from_middle,wood_from_middle,mixed,use,27,58,0.379,1.4,12,0.237,0.093,42,1728,41,0.385,21,42.8,0.239
MQ_382_wood_from_tip,113.5,HATE,Basin2005,7,HATE_003,wood_from_tip,wood_from_tip,sapwood,live,insufficient_sample_for_CN,35,68,0.07,0.2,16,0.12,0.049,12,1719,23,0.031,6,,
MQ_383_shed_bark,150.4,HATE,Basin2005,7,HATE_00Y,shed_bark,shed_bark,bark,dead,use,55,26,0.39,2.2,32,0.032,0.131,50,277,17,0.127,95,44.4,0.442
MQ_384_shed_sapwood,195,HATE,Basin2005,7,HATE_00Y,shed_sapwood,shed_sapwood,sapwood,dead,use,32,42,0.098,1.2,7,0.055,0.056,15,217,6,0.047,24,43.3,0.233
MQ_385_bark,221.2,HATE,Basin2005,7,HATE_005,bark,bark,bark,live,use,28,23,0.396,4.4,21,0.172,0.167,109,2231,65,0.185,51,45.1,0.512
MQ_386_wood_from_base,1256.8,HATE,Basin2005,7,HATE_005,wood_from_base,wood_from_base,wood_from_base,mixed,use,22,20,0.062,2.7,26,0.087,0.082,12,1703,31,0.049,7,43.2,0.133
MQ_387_wood_from_middle,820.9,HATE,Basin2005,7,HATE_005,wood_from_middle,wood_from_middle,wood_from_middle,mixed,use,21,11,0.221,5.2,12,0.21,0.165,65,2724,70,0.188,18,42.2,0.227
MQ_388_wood_from_tip,104.8,HATE,Basin2005,7,HATE_005,wood_from_tip,wood_from_tip,sapwood,live,insufficient_sample_for_CN,33,28,0.088,0.7,9,0.152,0.068,31,1522,44,0.071,6,,
MQ_389_bark,158.7,HATE,Basin2005,7,HATE_006,bark,bark,bark,live,use,101,50,0.504,1.8,71,0.243,0.134,156,2331,70,0.13,27,45.5,0.493
MQ_390_wood_from_base,1813.8,HATE,Basin2005,7,HATE_006,wood_from_base,wood_from_base,wood_from_base,mixed,use,40,14,0.056,1.2,34,0.141,0.064,10,731,14,0.019,4,43.5,0.123
MQ_391_wood_from_middle,445.1,HATE,Basin2005,7,HATE_006,wood_from_middle,wood_from_middle,wood_from_middle,mixed,use,91,21,0.3,1.2,10,0.229,0.119,89,2405,69,0.069,14,42.5,0.215
MQ_392_wood_from_tip,130.7,HATE,Basin2005,7,HATE_006,wood_from_tip,wood_from_tip,sapwood,live,use,15,34,0.152,0.4,12,0.145,0.074,35,1954,49,0.033,6,42.7,0.216
MQ_393_shed_bark,130.4,HATE,Waratah2003,9,HATE_80X,shed_bark,shed_bark,bark,dead,use,104,61,0.367,1.9,68,0.096,0.163,190,496,54,0.117,122,44.1,0.429
MQ_394_shed_sapwood,188.1,HATE,Waratah2003,9,HATE_80X,shed_sapwood,shed_sapwood,sapwood,dead,use,10,13,0.367,1.8,5,0.053,0.069,50,266,16,0.247,31,43.2,0.242
MQ_395_bark,586.3,HATE,Waratah2003,9,HATE_803,bark,bark,bark,live,use,41,27,0.412,2.3,29,0.136,0.113,22,899,43,0.134,49,44.2,0.461
MQ_396_wood_from_base,1568.9,HATE,Waratah2003,9,HATE_803,wood_from_base,wood_from_base,wood_from_base,mixed,use,19,14,0.085,4,19,0.088,0.068,6,684,22,0.048,10,43.5,0.086
MQ_397_wood_from_middle,456.7,HATE,Waratah2003,9,HATE_803,wood_from_middle,wood_from_middle,wood_from_middle,mixed,use,149,16,0.597,7.9,19,0.219,0.28,97,1953,93,0.328,35,41.6,0.208
MQ_398_wood_from_tip,282.5,HATE,Waratah2003,9,HATE_80X,wood_from_tip,wood_from_tip,sapwood,live,use,18,27,0.183,6,19,0.232,0.093,3,935,120,0.148,8,42.5,0.344
MQ_399_bark,540.1,HATE,Waratah2003,9,HATE_804,bark,bark,bark,live,use,135,24,0.431,2.3,93,0.167,0.099,30,1068,67,0.174,50,44.4,0.474
MQ_400_shed_bark,116.6,HATE,Waratah2003,9,HATE_804,shed_bark,shed_bark,bark,dead,insufficient_sample_for_CN,78,28,0.521,2,198,0.051,0.158,94,378,21,0.139,62,,
MQ_401_shed_sapwood,128.4,HATE,Waratah2003,9,HATE_804,shed_sapwood,shed_sapwood,sapwood,dead,insufficient_sample_for_CN,155,52,0.334,2.5,16,0.025,0.101,30,214,4,0.226,56,,
MQ_402_wood_from_base,1325.6,HATE,Waratah2003,9,HATE_804,wood_from_base,wood_from_base,wood_from_base,mixed,use,63,12,0.083,5.8,44,0.105,0.045,7,657,22,0.033,14,43.3,0.093
MQ_403_wood_from_middle,482.4,HATE,Waratah2003,9,HATE_804,wood_from_middle,wood_from_middle,wood_from_middle,mixed,use,122,22,0.252,3.2,17,0.112,0.081,21,2451,33,0.191,14,42,0.213
MQ_404_wood_from_tip,142.7,HATE,Waratah2003,9,HATE_804,wood_from_tip,wood_from_tip,sapwood,live,use,69,33,0.36,5.3,14,0.241,0.242,47,2576,177,0.33,11,42.3,0.326
MQ_405_bark,1215.9,HATE,Waratah2003,9,HATE_807,bark,bark,bark,live,use,20,25,0.285,0.7,13,0.103,0.077,15,666,25,0.088,58,44.5,0.463
MQ_406_shed_bark,128.6,HATE,Waratah2003,9,HATE_807,shed_bark,shed_bark,bark,dead,insufficient_sample_for_CN,146,66,0.521,3.9,37,0.038,0.151,68,274,62,0.121,65,,
