"","species","age","age2","replicate","site","tag_ID","d_start","d_end","length_start","new_length","segment","lvs_start_length","lvs_start_count","lvs_end_length","lvs_end_count","lvs_new_length","lvs_new_count","new_but_shed_count","mm_lvs_spec","count_lvs_spec","notes","dont_use","count_per_length","lvs_start","lvs_end","lvs_new","LL_death","LL_bd","LL_birth"
"58","BOLE",1.4,1.4,"101","Waratah2011","BOLE_101",60,167,30,103,"1",0,10,0,0,0,22,0,NA,NA,"","",0.245981591113861,10,0,22,1,0.476190476190476,0.454545454545455
"59","BOLE",1.4,1.4,"105","Waratah2011","BOLE_105",64,488,14,431,"1",0,6,0,0,0,75,0,NA,NA,"","",0.245981591113861,6,0,75,1,0.137931034482759,0.08
"60","BOLE",1.4,1.4,"110","Waratah2011","BOLE_110",166,259,110,201,"1",0,18,0,5,0,19,0,NA,NA,"","",0.245981591113861,18,5,19,1.38461538461538,0.8,0.947368421052632
"61","BOLE",1.4,1.4,"111","Waratah2011","BOLE_111",96,188,65,168,"1",0,14,0,5,0,26,0,NA,NA,"","",0.245981591113861,14,5,26,1.55555555555556,0.636363636363636,0.538461538461538
"62","BOLE",1.4,1.4,"112","Waratah2011","BOLE_112",97,186.6666667,90,203,"1",0,14,0,5,0,26,0,NA,NA,"","",0.245981591113861,14,5,26,1.55555555555556,0.636363636363636,0.538461538461538
"63","BOLE",1.4,1.4,"113","Waratah2011","BOLE_113",141,289.6666667,110,388,"1",0,14,0,4,0,24,0,NA,NA,"","",0.245981591113861,14,4,24,1.4,0.636363636363636,0.583333333333333
"64","BOLE",1.4,1.4,"114","Waratah2011","BOLE_114",108.6666667,298.6666667,105,230,"1",0,18,0,5,0,21,0,NA,NA,"","",0.245981591113861,18,5,21,1.38461538461538,0.765957446808511,0.857142857142857
"65","BOLE",1.4,1.4,"115","Waratah2011","BOLE_115",135.3333333,260.6666667,130,186,"1",0,20,0,7,0,20,0,NA,NA,"","",0.245981591113861,20,7,20,1.53846153846154,0.869565217391304,1
"66","BOLE",1.4,1.4,"116","Waratah2011","BOLE_116",151,294.3333333,230,350,"1",0,17,0,15,0,48,0,NA,NA,"","",0.245981591113861,17,15,48,8.5,0.653846153846154,0.354166666666667
"67","BOLE",1.4,1.4,"117","Waratah2011","BOLE_117",154.6666667,333.6666667,50,365,"2",0,30,0,15,0,46,0,NA,NA,"initial length approximate","",0.245981591113861,30,15,46,2,0.789473684210526,0.652173913043478
"68","BOLE",1.4,1.4,"119","Waratah2011","BOLE_119",96,353.3333333,65,325,"1",0,14,0,0,0,41,5,NA,NA,"","",0.245981591113861,14,0,41,1,0.405797101449275,0.341463414634146
"69","BOLE",2.4,2.4,"151","Waratah2011","BOLE_151",163,349,178,365,"2",0,121,0,55,0,29,0,NA,NA,"must be some leaves that grew and shed, because only 12 leaflets on new 135 mm length; also younger leaves are much small (single lobe) than older leaves","",0.245981591113861,121,55,29,1.83333333333333,1.50310559006211,4.17241379310345
"70","BOLE",2.4,2.4,"152","Waratah2011","BOLE_152",162,332,158,257,"2",0,38,0,6,0,8,2,NA,NA,"","",0.245981591113861,38,6,8,1.1875,1.05555555555556,4.75
"71","BOLE",2.4,2.4,"153","Waratah2011","BOLE_153",123,309,165,457,"N/A - bn 2&3",0,31,0,11,0,26,0,NA,NA,"","",0.245981591113861,31,11,26,1.55,0.939393939393939,1.19230769230769
"72","BOLE",2.4,2.4,"154","Waratah2011","BOLE_154",237,394,360,106,"2",0,69,0,34,0,13,0,NA,NA,"","",0.245981591113861,69,34,13,1.97142857142857,1.66265060240964,5.30769230769231
"73","BOLE",2.4,2.4,"155","Waratah2011","BOLE_155",252,418,168,225,"1",0,71,0,11,0,25,0,NA,NA,"","",0.245981591113861,71,11,25,1.18333333333333,0.979310344827586,2.84
"74","BOLE",2.4,2.4,"156","Waratah2011","BOLE_156",218,364,315,336,"1",0,33,0,3,0,16,0,NA,NA,"","",0.245981591113861,33,3,16,1.1,0.868421052631579,2.0625
"75","BOLE",2.4,2.4,"157","Waratah2011","BOLE_157",146,287,165,255,"2",0,31,0,8,0,8,2,NA,NA,"","",0.245981591113861,31,8,8,1.34782608695652,1.14814814814815,3.875
"76","BOLE",1.4,1.35,"303","Wilunga2012","BOLE_303",49.67,124,26,201,"1",0,8,0,0,0,13,4,NA,NA,"","",0.245981591113861,8,0,13,1,0.551724137931034,0.615384615384615
"77","BOLE",1.4,1.35,"305","Wilunga2012","BOLE_305",50,266,42,322,"1",0,8,0,0,0,26,2,NA,NA,"","",0.245981591113861,8,0,26,1,0.380952380952381,0.307692307692308
"78","BOLE",1.4,1.35,"306","Wilunga2012","BOLE_306",76,279,50,353,"1",0,8,0,1,0,33,0,NA,NA,"","",0.245981591113861,8,1,33,1.14285714285714,0.340425531914894,0.242424242424242
"79","BOLE",1.4,1.35,"307","Wilunga2012","BOLE_307",94.3,312,41,403,"1",0,10,0,0,0,40,0,NA,NA,"","",0.245981591113861,10,0,40,1,0.333333333333333,0.25
"80","BOLE",1.4,1.35,"308","Wilunga2012","BOLE_308",88,273.67,30,151,"1",0,8,0,0,0,13,9,NA,NA,"","",0.245981591113861,8,0,13,1,0.551724137931034,0.615384615384615
"81","BOLE",1.4,1.35,"313","Wilunga2012","BOLE_313",78,294.3,51,331,"1",0,10,0,3,0,26.66666667,0,NA,NA,"","",0.245981591113861,10,3,26.66666667,1.42857142857143,0.491803278648213,0.374999999953125
"82","BOLE",1.4,1.35,"316","Wilunga2012","BOLE_316",52,238.3,30,298,"1",0,6,0,0,0,31,1,NA,NA,"","",0.245981591113861,6,0,31,1,0.27906976744186,0.193548387096774
"83","BOLE",1.4,1.35,"317","Wilunga2012","BOLE_317",79,139.33,37,178,"1",0,8,0,0,0,15,0,NA,NA,"","",0.245981591113861,8,0,15,1,0.516129032258065,0.533333333333333
"84","BOLE",5,5,"401","Basin2007","BOLE_401",105,139,90,75,"2",0,25,0,0,18,0,0,NA,NA,"","",0.245981591113861,25,0,4.4276686400495,1,0.918650407950939,5.64631232198995
"85","BOLE",5,5,"402","Basin2007","BOLE_402",71,76,34,31,"3",0,9,0,0,10,0,0,NA,NA,"","",0.245981591113861,9,0,2.45981591113861,1,0.879773311655289,3.65881038464949
"86","BOLE",5,5,"403","Basin2007","BOLE_403",129,156,140,42,"2",0,20,0,0,26,0,0,NA,NA,"little side branches above, but last main node","",0.245981591113861,20,0,6.39552136896039,1,0.862152182360448,3.12718836294828
"87","BOLE",5,5,"404","Basin2007","BOLE_404",95,93,70,29,"2",0,12,0,2,7,0,0,NA,NA,"","",0.245981591113861,12,2,1.72187113779703,1.2,1.10487719256556,6.9691626374276
"88","BOLE",5,5,"405","Basin2007","BOLE_405",98,109,97,53,"2",0,17,0,0,14,0,0,NA,NA,"","",0.245981591113861,17,0,3.44374227559406,1,0.908028897051813,4.93649020151121
"89","BOLE",5,5,"407","Basin2007","BOLE_407",106,112,142,55,"3",0,20,0,4,7,0,0,NA,NA,"","",0.245981591113861,20,4,1.72187113779703,1.25,1.18617379909166,11.6152710623793
"90","BOLE",5,5,"408","Basin2007","BOLE_408",131,176,180,50,"2",0,41,0,19,11,0,0,NA,NA,"","",0.245981591113861,41,19,2.70579750225247,1.86363636363636,1.7556706958284,15.1526490677403
"91","BOLE",9,9,"801","Waratah2003","BOLE_801",110,137,143,74,"3",0,6,0,2,0,12,0,NA,NA,"","",0.245981591113861,6,2,12,1.5,0.6,0.5
"92","BOLE",9,9,"802","Waratah2003","BOLE_802",143,158,195,37,"2",0,21,0,12,0,13,0,NA,NA,"","",0.245981591113861,21,12,13,2.33333333333333,1.35483870967742,1.61538461538462
"93","BOLE",9,9,"803","Waratah2003","BOLE_803",123,141,160,25,"2",0,17,0,11,0,10,0,NA,NA,"","",0.245981591113861,17,11,10,2.83333333333333,1.54545454545455,1.7
"94","BOLE",9,9,"804","Waratah2003","BOLE_804",71,87,56,16,"2",0,12,0,3,0,8,0,NA,NA,"","",0.245981591113861,12,3,8,1.33333333333333,0.923076923076923,1.5
"95","BOLE",9,9,"805","Waratah2003","BOLE_805",137,161,265,47,"2",0,23,0,5,0,14,0,NA,NA,"","",0.245981591113861,23,5,14,1.27777777777778,0.92,1.64285714285714
"96","BOLE",9,9,"806","Waratah2003","BOLE_806",103,117,76,20,"3",0,10,0,4,0,8,0,NA,NA,"","",0.245981591113861,10,4,8,1.66666666666667,1,1.25
"97","BOLE",9,9,"807","Waratah2003","BOLE_807",133,138,255,15,"2",0,21,0,13,0,6,0,NA,NA,"a branch low on stem that later became the main leader; data on several other branches higher up as well","",0.245981591113861,21,13,6,2.625,1.90909090909091,3.5
"98","COER",7,7,"1","Basin2005","COER_001",162,221,185,50,"3",427.4,22,275,37,50,0,0,NA,NA,"","",1.42752454464257,632.123990380235,429.569249776707,71.3762272321285,3.12075633725862,2.6532757612012,8.85622587369954
"99","COER",7,7,"3","Basin2005","COER_003",143,206,102,60,"N/A",337,0,182,75,60,0,0,NA,NA,"","",1.42752454464257,481.075771544546,334.809467124948,85.6514726785543,3.2890403121451,2.54413548880145,5.61666666666667
"100","COER",7,7,"5","Basin2005","COER_005",105,148,70,22,"2",185,14,70,0,22,0,0,NA,NA,"","",1.42752454464257,278.092040758876,99.92671812498,31.4055399821366,1.56086513720919,1.43443945310197,8.85487213138364
"101","COER",2.4,2.4,"152","Waratah2011","COER_152",179,454,146,616,"1",132,0,123,0,616,0,0,NA,NA,"","",1.42752454464257,188.433239892819,175.585518991036,879.355119499824,14.6666666666667,0.416403785488959,0.214285714285714
"102","COER",2.4,2.4,"153","Waratah2011","COER_153",101,195,30,106,"1",0,12,0,10,106,0,0,NA,NA,"old leaves all juvenile","",1.42752454464257,12,10,151.317601732113,6,0.154522087209372,0.0793033980359032
"103","COER",2.4,2.4,"154","Waratah2011","COER_154",99.3,182.67,37,119,"1",0,15,0,9,119,0,0,NA,NA,"old leaves all juvenile","",1.42752454464257,15,9,169.875420812466,2.5,0.164948071960385,0.0883000020147662
"104","COER",2.4,2.4,"156","Waratah2011","COER_156",132,229,145,176,"1",125,0,125,0,176,0,0,NA,NA,"","",1.42752454464257,178.440568080321,178.440568080321,251.244319857092,NA,1.42045454545455,0.710227272727273
"105","COER",2.4,2.4,"157","Waratah2011","COER_157",148,2322,135,185,"1",120,0,110,0,192,0,0,NA,NA,"","",1.42752454464257,171.302945357109,157.027699910683,274.084712571374,12,1.13207547169811,0.625
"106","COER",2.4,2.4,"158","Waratah2011","COER_158",121,199,83,224,"1",65,0,44,0,224,0,0,NA,NA,"","",1.42752454464257,92.7890954017671,62.8110799642731,319.765497999936,3.0952380952381,0.488721804511278,0.290178571428571
"107","COER",2.4,2.4,"159","Waratah2011","COER_159",93.33,165,70,192,"1",55,0,55,0,192,0,0,NA,NA,"","",1.42752454464257,78.5138499553414,78.5138499553414,274.084712571374,NA,0.572916666666667,0.286458333333333
"108","COER",2.4,2.4,"159b","Waratah2011","COER_159b",112,163,135,82,"1",128,0,70,0,82,0,0,NA,NA,"","",1.42752454464257,182.723141714249,99.92671812498,117.057012660691,2.20689655172414,1.29292929292929,1.5609756097561
"109","COER",1.4,1.35,"321","Wilunga2012","COER_321",72,104,8,48,"1",0,6,0,6,48,0,0,NA,NA,"","",1.42752454464257,6,6,68.5211781428434,NA,0.175128337329286,0.0875641686646432
"110","COER",1.4,1.35,"322","Wilunga2012","COER_322",60,88.67,8,55,"1",0,6,0,4,55,0,1,NA,NA,"","",1.42752454464257,6,4,78.5138499553414,3,0.145430130899173,0.0764196381073249
"111","COER",1.4,1.35,"324","Wilunga2012","COER_324",70,129,6,68,"1",0,6,0,6,68,0,2,NA,NA,"","",1.42752454464257,6,6,97.0716690356948,NA,0.123620002820673,0.0618100014103364
"112","COER",1.4,1.35,"327","Wilunga2012","COER_327",82,100.33,13,29,"1",0,8,0,5,29,0,1,NA,NA,"","",1.42752454464257,8,5,41.3982117946346,2.66666666666667,0.337565477561143,0.193245061880592
"113","COER",5,5,"401","Basin2007","COER_401",127,192,95,88,"2",205,0,185,0,88,0,0,NA,NA,"","",1.42752454464257,292.642531651727,264.092040758876,125.622159928546,10.25,3.203125,2.32954545454545
"114","COER",5,5,"402","Basin2007","COER_402",102,208,82,77,"2",125,2,82,18,77,0,0,NA,NA,"","",1.42752454464257,180.440568080321,135.057012660691,109.919389937478,3.97590198502324,1.7982332382292,1.64157177530694
"115","COER",5,5,"403","Basin2007","COER_403",106,173,105,165,"2",200,0,165,0,165,0,0,NA,NA,"","",1.42752454464257,285.504908928514,235.541549866024,235.541549866024,5.71428571428571,1.70212765957447,1.21212121212121
"116","COER",5,5,"404","Basin2007","COER_404",128,155,132,33,"2",204,0,132,45,33,0,0,NA,NA,"","",1.42752454464257,291.215007107084,233.433239892819,47.1083099732048,5.03991174287223,3.58039841717045,6.18181818181818
"117","COER",5,5,"405","Basin2007","COER_405",161,204,165,64,"2",224,0,175,35,64,0,0,NA,NA,"","",1.42752454464257,319.765497999936,284.81679531245,91.3615708571245,9.14956703427032,3.96586293019378,3.5
"118","COER",5,5,"406","Basin2007","COER_406",114,168,122,46,"2",209,0,122,25,46,0,0,NA,NA,"","",1.42752454464257,298.352629830297,199.157994446394,65.6661290535583,3.0077496497226,2.25977298727565,4.54347826086956
"119","COER",5,5,"407","Basin2007","COER_407",120,142,63,25,NA,269,0,236,0,25,0,0,NA,NA,"","",1.42752454464257,384.004102508852,336.895792535647,35.6881136160643,8.15151515151515,5.91208791208791,10.76
"120","COER",9,9,"801","Waratah2003","COER_801",136,197,112,68,"3",297,0,90,0,68,0,0,NA,NA,"","",1.42752454464257,423.974789758844,128.477209017831,97.0716690356948,1.43478260869565,1.23236514522822,4.36764705882353
"121","COER",9,9,"802","Waratah2003","COER_802",146,181,92,70,"2",212,16,40,24,70,0,0,NA,NA,"","",1.42752454464257,318.635203464225,81.1009817857028,99.92671812498,1.3414286211587,1.10830568606163,3.1886887655582
